iso3,variable,baseline_mean
AFG,cdd,135.3515821904194
AFG,rx1day,21.745863666666665
AFG,rx5day,40.83508406666667
AGO,cdd,127.76713178294573
AGO,rx1day,32.390285633333335
AGO,rx5day,95.22433523333333
ALB,cdd,32.15714285714286
ALB,rx1day,41.622889066666666
ALB,rx5day,84.96978206666667
ARE,cdd,272.0768956043956
ARE,rx1day,11.541700353333335
ARE,rx5day,16.663279216666666
ARG,cdd,26.439125295508276
ARG,rx1day,44.274831533333334
ARG,rx5day,84.74595586666666
ARM,cdd,27.183333333333334
ARM,rx1day,24.157545566666666
ARM,rx5day,56.46869503333333
AUS,cdd,108.24581724711287
AUS,rx1day,38.512191666666666
AUS,rx5day,82.27978406666666
AUT,cdd,17.747619047619047
AUT,rx1day,34.04073043333333
AUT,rx5day,71.83830666666667
AZE,cdd,42.540579710144925
AZE,rx1day,26.492210399999998
AZE,rx5day,53.6183551
BDI,cdd,98.20666666666666
BDI,rx1day,25.051613933333332
BDI,rx5day,79.33063943333333
BEL,cdd,18.25
BEL,rx1day,27.120924733333332
BEL,rx5day,57.773263166666666
BEN,cdd,191.30980392156863
BEN,rx1day,31.349246400000002
BEN,rx5day,72.72619846666666
BFA,cdd,220.3674603174603
BFA,rx1day,26.629816533333333
BFA,rx5day,52.23828446666666
BGD,cdd,68.50493827160494
BGD,rx1day,65.868062
BGD,rx5day,163.55265933333334
BGR,cdd,32.77361111111111
BGR,rx1day,30.550219000000002
BGR,rx5day,59.77229556666667
BHS,cdd,22.0
BHS,rx1day,47.10616126666666
BHS,rx5day,104.00270223333334
BIH,cdd,21.778787878787877
BIH,rx1day,42.028175733333335
BIH,rx5day,87.97917536666667
BLR,cdd,20.18011695906433
BLR,rx1day,26.3048238
BLR,rx5day,51.8891465
BLZ,cdd,38.044444444444444
BLZ,rx1day,29.721945333333334
BLZ,rx5day,70.91963036666667
BOL,cdd,34.49276895943562
BOL,rx1day,41.8247202
BOL,rx5day,100.06322916666666
BRA,cdd,60.38775842044135
BRA,rx1day,40.643018766666664
BRA,rx5day,109.85314743333333
BRN,cdd,7.177777777777778
BRN,rx1day,44.3027082
BRN,rx5day,134.21550566666667
BTN,cdd,26.254166666666666
BTN,rx1day,76.8624989
BTN,rx5day,234.97056733333332
BWA,cdd,105.30534591194969
BWA,rx1day,31.054828533333332
BWA,rx5day,79.4030099
CAF,cdd,138.42920634920634
CAF,rx1day,28.17559806666667
CAF,rx5day,73.36511246666667
CAN,cdd,29.044293556775497
CAN,rx1day,25.4209042
CAN,rx5day,48.1710593
CHE,cdd,16.933333333333334
CHE,rx1day,37.221123766666665
CHE,rx5day,86.03987283333335
CHL,cdd,54.28052175592246
CHL,rx1day,43.85794946666667
CHL,rx5day,110.97553656666668
CHN,cdd,63.66351798098944
CHN,rx1day,31.1765901
CHN,rx5day,67.05262133333333
CIV,cdd,125.54035087719299
CIV,rx1day,31.306731266666667
CIV,rx5day,84.44662266666667
CMR,cdd,129.3113924050633
CMR,rx1day,30.947945133333334
CMR,rx5day,88.8641756
COD,cdd,69.86094986807389
COD,rx1day,28.76974446666667
COD,rx5day,82.91610770000001
COG,cdd,47.20178571428571
COG,rx1day,27.8847113
COG,rx5day,80.60667303333334
COL,cdd,35.7780701754386
COL,rx1day,38.67295643333333
COL,rx5day,112.97793633333335
CRI,cdd,88.42121212121212
CRI,rx1day,38.90828633333333
CRI,rx5day,124.48111356666666
CUB,cdd,29.077272727272728
CUB,rx1day,26.42725073333333
CUB,rx5day,73.26303473333333
CYP,cdd,141.7
CYP,rx1day,16.425903716666667
CYP,rx5day,33.827957
CZE,cdd,18.055555555555554
CZE,rx1day,28.114568533333333
CZE,rx5day,58.645123733333335
DEU,cdd,18.295340501792115
DEU,rx1day,26.36453283333333
DEU,rx5day,55.29692446666666
DJI,cdd,117.35833333333333
DJI,rx1day,13.570962063333333
DJI,rx5day,29.297657376666667
DNK,cdd,21.654761904761905
DNK,rx1day,22.549432266666667
DNK,rx5day,46.31017096666667
DOM,cdd,20.141666666666666
DOM,rx1day,25.586362
DOM,rx5day,74.50789133333333
DZA,cdd,366.29160894332347
DZA,rx1day,5.988512743333333
DZA,rx5day,9.72398068
ECU,cdd,8.651666666666667
ECU,rx1day,53.07256036666667
ECU,rx5day,151.16680166666666
EGY,cdd,561.6819564501297
EGY,rx1day,2.8432554933333334
EGY,rx5day,4.094362836666667
ERI,cdd,147.65
