iso3,year,cdd,rx1day,rx5day,warm_days,warm_nights,wsdi,conflict_probability,hazard,conflict_probability_lag1
AFG,2018,-24.828505267342493,8.450346333333336,10.393103933333336,16.402529,23.494204,17.115384615384617,0.901725,8.7,0.93155
AFG,2019,-7.490043728880948,5.297711333333336,15.241098933333332,22.035828,22.396206,28.93076923076923,0.8736750000000001,8.8,0.901725
AFG,2020,17.1968049063548,-6.904369666666664,-10.219836066666666,33.453133,27.183691,67.96923076923076,0.8485124999999999,8.8,0.8736750000000001
AFG,2021,23.417648578811367,-1.386133666666666,0.1783279333333354,30.400423,29.441517,73.0,0.829175,8.9,0.8485124999999999
AFG,2022,28.17918704034983,-0.3002976666666654,-2.5720680666666667,18.056902,18.697575,25.93846153846154,0.81045,8.9,0.829175
AFG,2023,-7.78235142118865,-4.7108436666666655,-7.2849740666666705,13.18019,19.327713,14.323076923076924,0.7897124999999999,8.9,0.81045
AFG,2024,5.709956271119069,3.7983033333333367,7.055095933333334,34.57545,32.616646,73.93846153846154,0.7757125,8.7,0.7897124999999999
AFG,2025,-39.620812959650166,15.370066333333334,34.761445933333334,17.049524,26.174921,27.67692307692308,0.7739625,7.6,0.7757125
AGO,2018,-4.91131782945736,0.268661366666663,-2.297495233333322,25.912712,37.007965,43.31627906976744,0.131,4.3,0.0899125
AGO,2019,2.3863565891472973,3.812118366666666,2.1409347666666747,34.84422,49.126472,61.53488372093023,0.165125,3.6,0.131
AGO,2020,8.521240310077545,0.2827743666666649,-1.3359992333333253,20.543907,23.395603,28.67441860465116,0.1985125,4.0,0.165125
AGO,2021,20.91658914728684,0.9175683666666644,0.6746647666666803,18.95763,26.565147,23.80465116279069,0.2267,3.5,0.1985125
AGO,2022,-7.8136434108527055,-0.2503816333333333,-0.939645233333323,14.821281,25.597961,19.32093023255814,0.2589625,3.0,0.2267
AGO,2023,14.14914728682173,1.3843873666666653,5.349164766666675,22.328129,32.324947,29.032558139534885,0.283725,2.7,0.2589625
AGO,2024,-21.08341085271317,5.057154366666666,9.063689766666684,18.028975,39.401447,28.73953488372093,0.3034,4.2,0.283725
AGO,2025,5.781705426356595,1.7447843666666645,4.286078766666677,32.495697,54.18541,47.63720930232558,0.32015,4.4,0.3034
ALB,2018,2.9857142857142875,2.8439379333333363,0.186017933333332,25.792562,27.632093,47.85714285714285,0.0096875,3.3,0.009025
ALB,2019,-4.157142857142858,-4.913569066666668,-12.86386206666667,30.019571,35.53816,47.142857142857146,0.0121,3.3,0.0096875
ALB,2020,24.557142857142864,21.60816293333333,27.32677293333333,25.448868,25.68306,56.71428571428572,0.013025,3.9,0.0121
ALB,2021,-6.157142857142858,6.983796933333338,22.037213933333334,16.67319,17.573385,19.0,0.0151,4.1,0.013025
ALB,2022,19.41428571428571,-1.983157066666664,0.6245779333333275,19.373777,20.665361,34.857142857142854,0.017475,3.8,0.0151
ALB,2023,5.414285714285711,17.812054933333336,12.35596293333333,27.632093,28.649706,56.42857142857143,0.015025,3.8,0.017475
ALB,2024,8.271428571428572,-2.977782066666663,9.292407933333337,32.27947,32.86495,69.14285714285714,0.0178375,3.4,0.015025
ALB,2025,-11.3,-1.0951390666666685,18.17137793333333,18.395304,18.982388,28.857142857142858,0.0197374999999999,3.5,0.0178375
ARG,2018,1.8161938534278903,1.840784466666676,2.249734133333334,10.255028,13.785096,5.723404255319149,0.0304125,2.5,0.0179125
ARG,2019,-3.148345153664309,11.053034466666674,14.152680133333334,10.048091,12.03585,7.847517730496454,0.0386125,2.4,0.0304125
ARG,2020,0.0466903073285998,3.352186466666673,2.901354133333342,10.625702,11.871681,6.060283687943262,0.0472625,2.8,0.0386125
ARG,2021,4.013002364066189,4.16164246666667,10.260590133333338,12.167493,13.241524,10.78191489361702,0.0552374999999999,2.8,0.0472625
ARG,2022,-2.6855791962175,5.198702466666674,12.627294133333336,8.018557,10.403187,2.780141843971631,0.06305,2.6,0.0552374999999999
ARG,2023,0.8569739952718614,2.954668466666675,9.91934413333334,14.012436,15.341009,13.907801418439716,0.0696875,2.4,0.06305
ARG,2024,2.5786052009456206,3.765413466666672,5.574424133333338,13.55947,16.135721,10.404255319148936,0.0763124999999999,2.5,0.0696875
ARG,2025,-1.832742316784877,5.58153346666667,11.899134133333334,13.1798315,17.839794,10.679078014184396,0.083275,2.6,0.0763124999999999
ARM,2018,-2.1833333333333336,-1.4256825666666622,3.1150249666666667,21.232878,31.826485,38.5,0.0109749999999999,3.3,0.0055625
ARM,2019,6.983333333333331,0.7009954333333361,7.275780966666666,21.369864,23.515982,46.66666666666666,0.0123375,3.2,0.0109749999999999
ARM,2020,6.816666666666666,0.6738144333333373,0.0718949666666688,31.375229,40.30055,57.0,0.0157749999999999,3.8,0.0123375
ARM,2021,-3.1833333333333336,3.711412433333337,8.177454966666673,17.945206,29.680365,28.666666666666668,0.0216,3.2,0.0157749999999999
ARM,2022,-4.516666666666666,-3.764574566666664,-19.278361033333333,19.726027,19.908676,30.166666666666668,0.0213625,8.4,0.0216
ARM,2023,-3.0166666666666657,1.2721724333333384,-7.580233033333336,30.41096,35.981735,70.33333333333333,0.0237124999999999,8.4,0.0213625
ARM,2024,6.983333333333331,-1.745095566666663,7.929634966666669,28.4153,36.065575,67.83333333333333,0.025875,2.0,0.0237124999999999
ARM,2025,0.149999999999995,5.788529433333338,19.245834966666663,14.566211,21.689499,15.0,0.0277875,3.0,0.025875
AUS,2018,26.99035296565308,-6.564202666666667,-16.735324066666664,14.544252,14.714272,16.0177304964539,0.014575,3.3,0.0102
AUS,2019,-54.296881076900114,8.191628333333334,19.54456593333333,12.606821,25.767609,17.893617021276597,0.01825,3.4,0.014575
AUS,2020,-21.33021441023345,7.3156853333333345,17.023455933333338,7.959733,13.3077545,4.899290780141844,0.025125,2.8,0.01825
AUS,2021,-10.547235686829197,5.2189143333333305,10.43943093333334,7.3327503,9.7038765,5.670212765957447,0.0288499999999999,2.7,0.025125
AUS,2022,31.19815438409279,-3.530109666666668,-8.474004066666666,18.448072,17.981152,17.273758865248226,0.031075,2.7,0.0288499999999999
AUS,2023,-7.138725048531327,8.058475333333334,13.53810593333334,14.145925,18.628777,14.02482269503546,0.0355125,2.9,0.031075
AUS,2024,26.82510473870272,6.172233333333331,22.82069593333334,10.214122,11.511452,6.641843971631205,0.0357875,2.7,0.0355125
AUS,2025,15.150636653596337,2.4903103333333334,2.420365933333329,19.83892,20.830273,27.347517730496453,0.0375999999999999,2.9,0.0357875
AUT,2018,-3.4619047619047603,-7.997607433333329,-12.311008666666666,18.369211,21.004566,25.142857142857142,0.0117375,1.3,0.0093375
AUT,2019,-1.2238095238095212,-0.1039504333333312,-5.470806666666661,26.810175,28.323547,43.04761904761905,0.0130499999999999,1.2,0.0117375
AUT,2020,-1.9857142857142824,-4.249455433333331,-5.252276666666674,23.74447,22.261253,26.476190476190474,0.0148875,1.2,0.0130499999999999
