ISO3,year,government_effectiveness,control_of_corruption,gdp_per_capita_log,urban_share,median_age,life_expectancy,locc
AFG,2015,,,7.7337167785841885,24.8,16.7,63.2,8.188247807570516
AFG,2016,,,7.702186325414923,24.6588345720126,15.681,62.6505,8.0
AFG,2017,,,7.756107952434616,24.8352821238871,15.868,62.497,7.7
AFG,2018,,,7.79658301162789,24.9991645191406,16.051,62.5585,7.5
AFG,2019,,,7.856894670296286,25.1437258839803,16.234,63.027,7.5
AFG,2020,,,7.848536363222212,26.0,17.5,62.8,7.2
AFG,2021,,,7.670506210417375,25.3478620272481,16.575,60.5655,7.3
AFG,2022,,,7.660583490493886,25.3939250580909,16.752,65.58850000000001,7.3
AFG,2023,,,7.696995472360294,25.4730529631167,16.94,66.0015,7.1
AFG,2024,,,,25.7007352636188,,66.25800000000001,7.1
AFG,2025,,,6.785010787706826,30.551,18.4,64.65,7.4
AGO,2015,,,8.995597169580629,63.4,17.1,61.65,6.759468807607233
AGO,2016,,,8.957618394667024,64.2992302517989,16.279,61.623000000000005,7.1
AGO,2017,,,8.988051032591178,65.0850525086068,16.279,62.127,7.0
AGO,2018,,,9.021401230594114,65.8732136723372,16.285,62.628,7.3
AGO,2019,,,9.056358889380048,66.6637823180533,16.302,63.057500000000005,7.3
AGO,2020,,,8.965389260345553,66.8,17.3,62.2,7.1
AGO,2021,,,9.08955949726606,68.2524163556969,16.345,62.9695,6.9
AGO,2022,,,9.168292761603052,69.0506188977513,16.39,64.2505,6.9
AGO,2023,,,9.185391774557369,69.8515032220457,16.452,64.6215,6.9
AGO,2024,,,9.222131482261853,70.6551379036435,,64.8095,6.7
AGO,2025,,,8.69676706412881,70.213,17.7,63.3,7.0
ALB,2015,,,9.35631830800516,57.4,35.5,79.2,5.122849857366903
ALB,2016,,,9.407236279972263,55.5738734464276,33.594,78.6435,4.8
ALB,2017,,,9.48418725208574,55.980276426546,33.912,78.896,4.4
ALB,2018,,,9.559737040658304,56.377000259892,34.283,79.2245,4.2
ALB,2019,,,9.64778708817983,56.7639071287255,34.708,79.447,4.3
ALB,2020,,,9.638370571789272,62.1,37.8,77.95,4.2
ALB,2021,,,9.760168452416517,57.5077187031778,35.549,76.872,4.1
ALB,2022,,,9.971678968637365,57.8643477747383,35.943,78.766,4.4
ALB,2023,,,10.127075729430528,58.2106086137857,36.277,79.58699999999999,4.4
ALB,2024,,,10.208999037464109,58.5463634043555,,79.7584,4.2
ALB,2025,,,9.916391401079858,68.406,39.0,81.19999999999999,3.3
ARE,2015,,,11.211632025255469,85.7,29.9,79.85,2.883715084125147
ARE,2016,,,11.156064554706385,84.5093991669984,30.817,82.45349999999999,2.2
ARE,2017,,,11.160269419435872,84.686675718659,30.834,82.583,1.9
ARE,2018,,,11.257339129267708,84.8601805824625,30.831,82.708,1.9
ARE,2019,,,11.28748303689304,85.0298263388195,30.834,82.8175,1.9
ARE,2020,,,11.109318862766706,87.0,32.6,80.05000000000001,1.9
ARE,2021,,,11.135758391986398,85.3571908511355,30.886,79.399,1.8
ARE,2022,,,11.22619838476862,85.5147347682487,30.903,80.74799999999999,1.8
ARE,2023,,,11.263890802596816,85.6680699002526,31.232,83.091,1.8
ARE,2024,,,11.2800943756359,85.8171088279791,,83.24345,1.8
ARE,2025,,,11.13166012293152,89.975,36.6,81.7,3.0
ARG,2015,0.488974983,0.304622956,9.898432292590355,91.5,30.8,76.85,4.011629799777888
ARG,2016,0.580051769,0.434145878,9.90876168779098,91.5856817228217,30.051,76.0875,3.7
ARG,2017,0.570891516,0.442489681,10.059853238446252,91.6776028433824,30.258,76.4975,3.7
ARG,2018,0.563521358,0.4773873419999999,10.10276421841312,91.7679941327998,30.491,76.728,3.7
ARG,2019,0.564534275,0.461402602,10.065471452349811,91.8567844513802,30.763,76.80099999999999,3.5
