iso3,scenario,year,gdp_per_capita_log,urban_share,median_age,life_expectancy,government_effectiveness,control_of_corruption
ARG,SSP1,2030,10.16823251,93.719,35.7,83.4,0.620269486,0.476887633
ARG,SSP1,2035,10.27170527,93.862,37.8,85,0.649397,0.504839607
ARG,SSP1,2040,10.3743324,93.921,40.1,86.6,0.677101818,0.529535156
ARG,SSP1,2045,10.47595572,93.947,42.3,88.2,0.703535368,0.551635643
ARG,SSP1,2050,10.57417932,93.958,44.7,89.9,0.728030619,0.57079604
ARG,SSP1,2055,10.66161069,93.962,47.1,91.4,0.751013792,0.587527123
ARG,SSP1,2060,10.75168386,93.964,49.7,92.9,0.769859033,0.601577635
ARG,SSP1,2065,10.83520265,93.965,52.4,94.4,0.7915282,0.615550982
ARG,SSP1,2070,10.91083959,93.966,55.1,95.8,0.813099486,0.628953047
ARG,SSP1,2075,10.97244761,93.966,57.6,97.2,0.830294064,0.639755222
ARG,SSP1,2080,11.02489028,93.966,60.2,98.4,0.850403304,0.650918034
ARG,SSP1,2085,11.07317653,93.966,62.4,99.4,0.866265276,0.659756693
ARG,SSP1,2090,11.12093265,93.966,64.4,100.3,0.881605182,0.66793457
ARG,SSP1,2095,11.17725377,93.966,66.3,101.1,0.896462504,0.675539118
ARG,SSP1,2100,11.22783918,93.966,68,101.6,0.896462504,0.675539118
ARG,SSP2,2030,10.13308681,92.891,35.2,82.4,0.578118032,0.429952283
ARG,SSP2,2035,10.20414819,93.108,36.9,83.5,0.593520612,0.446986332
ARG,SSP2,2040,10.27343331,93.262,38.5,84.6,0.611580549,0.464009313
ARG,SSP2,2045,10.35097207,93.373,40.1,85.7,0.625559069,0.478341741
ARG,SSP2,2050,10.4288515,93.452,41.8,86.8,0.642824314,0.493161527
ARG,SSP2,2055,10.50187244,93.511,43.5,87.9,0.658760805,0.506154019
ARG,SSP2,2060,10.57214371,93.554,45.3,88.9,0.670339188,0.516653827
ARG,SSP2,2065,10.64151556,93.586,47,90,0.68584355,0.528618416
ARG,SSP2,2070,10.70797591,93.609,48.4,91.1,0.70112911,0.540014187
ARG,SSP2,2075,10.76610214,93.627,49.4,92.1,0.716159594,0.550853864
ARG,SSP2,2080,10.81962142,93.64,50.3,93.2,0.727054485,0.559485553
ARG,SSP2,2085,10.87139017,93.65,51.2,94.2,0.741450392,0.569230963
ARG,SSP2,2090,10.922396,93.657,52.1,95.2,0.755937941,0.578948742
ARG,SSP2,2095,10.96780871,93.662,53,96.1,0.766278614,0.586534707
ARG,SSP2,2100,10.98009258,93.666,53.9,97,0.766278614,0.586534707
ARG,SSP3,2030,10.10911778,90.846,34.7,81.4,0.545999328,0.389969116
ARG,SSP3,2035,10.1523455,90.278,36,82,0.553221482,0.396629884
ARG,SSP3,2040,10.19027411,89.756,37,82.5,0.559264614,0.402107642
ARG,SSP3,2045,10.22982097,89.284,37.9,83.1,0.564753229,0.407236478
ARG,SSP3,2050,10.26724385,88.863,38.9,83.6,0.569558714,0.411936834
ARG,SSP3,2055,10.3029018,88.493,39.8,84.2,0.573187169,0.415455521
ARG,SSP3,2060,10.33429114,88.169,40.4,84.7,0.576806298,0.418962791
ARG,SSP3,2065,10.36172862,87.889,40.4,85.2,0.579712289,0.421575547
ARG,SSP3,2070,10.38150296,87.648,40.4,85.7,0.582775214,0.424279847
ARG,SSP3,2075,10.39392348,87.444,40.5,86.2,0.585844362,0.426982458
ARG,SSP3,2080,10.40453769,87.27,40.6,86.7,0.592204614,0.430775383
ARG,SSP3,2085,10.41595481,87.123,40.7,87.1,0.595023669,0.433312243
ARG,SSP3,2090,10.42893786,87,40.7,87.5,0.597846021,0.435845708
ARG,SSP3,2095,10.44055039,86.896,40.7,87.9,0.600755153,0.438427474
ARG,SSP3,2100,10.40059182,86.81,40.7,88.4,0.600755153,0.438427474
ARG,SSP5,2030,10.17496331,93.719,35.7,83.4,0.611559592,0.457808467
ARG,SSP5,2035,10.28536784,93.862,37.8,85,0.639877066,0.483666673
ARG,SSP5,2040,10.39576052,93.921,40,86.6,0.66681722,0.506953692
ARG,SSP5,2045,10.50525763,93.947,42.3,88.2,0.69288997,0.528575287
ARG,SSP5,2050,10.61108537,93.958,44.6,89.8,0.717741651,0.548216135
