iso3,year,control_of_corruption,gdp_per_capita_log,government_effectiveness,life_expectancy,median_age,urban_share,locc,government_effectiveness_lag1,control_of_corruption_lag1,gdp_per_capita_log_lag1,urban_share_lag1,median_age_lag1,life_expectancy_lag1
ARG,2016,0.434145878,9.90876168779098,0.580051769,76.0875,30.051,91.5856817228217,3.7,0.488974983,0.304622956,9.898432292590355,91.5,30.8,76.85
ARG,2017,0.442489681,10.059853238446252,0.570891516,76.4975,30.258,91.6776028433824,3.7,0.580051769,0.434145878,9.90876168779098,91.5856817228217,30.051,76.0875
ARG,2018,0.4773873419999999,10.10276421841312,0.563521358,76.728,30.491,91.7679941327998,3.7,0.570891516,0.442489681,10.059853238446252,91.6776028433824,30.258,76.4975
ARG,2019,0.461402602,10.065471452349811,0.564534275,76.80099999999999,30.763,91.8567844513802,3.5,0.563521358,0.4773873419999999,10.10276421841312,91.7679941327998,30.491,76.728
ARG,2020,0.451329544,10.016519227558485,0.542362181,76.85,31.9,92.1,3.5,0.564534275,0.461402602,10.065471452349811,91.8567844513802,30.763,76.80099999999999
ARG,2021,0.4122917,10.177334646293044,0.535291966,73.9865,31.403,92.0292776175651,3.4,0.542362181,0.451329544,10.016519227558485,92.1,31.9,76.85
ARG,2022,0.409679996,10.302559177377985,0.53451823,75.7835,31.739,92.112838186126,3.5,0.535291966,0.4122917,10.177334646293044,92.0292776175651,31.403,73.9865
ARG,2023,0.4068773729999999,10.316308794124684,0.525357627,77.34,32.122,92.1945132257907,3.6,0.53451823,0.409679996,10.302559177377985,92.112838186126,31.739,75.7835
ARG,2024,0.412619998,10.323223450875885,0.549132764,77.49805,32.811,92.2742315972952,3.6,0.525357627,0.4068773729999999,10.316308794124684,92.1945132257907,32.122,77.34
ARG,2025,0.412619998,10.068794249182051,0.549132764,79.05000000000001,33.5,93.347,4.0,0.549132764,0.412619998,10.323223450875885,92.2742315972952,32.811,77.49805
ARM,2016,0.361010481,9.265800815656416,0.492870403,74.94999999999999,33.067,64.5928753345316,5.0,0.471517644,0.307673166,9.185723943440658,63.1,33.3,74.65
ARM,2017,0.364364948,9.398147216151475,0.511345469,75.30000000000001,33.445,64.7124948593667,4.9,0.492870403,0.361010481,9.265800815656416,64.5928753345316,33.067,74.94999999999999
ARM,2018,0.445303761,9.463236396435184,0.479754653,75.7,33.938,64.8502833795679,4.9,0.511345469,0.364364948,9.398147216151475,64.7124948593667,33.445,75.30000000000001
ARM,2019,0.467952054,9.614187769216471,0.46417589,76.3,34.525,65.0047033570428,4.8,0.479754653,0.445303761,9.463236396435184,64.8502833795679,33.938,75.7
ARM,2020,0.499924934,9.596032429046057,0.447767568,73.85,34.9,63.3,4.8,0.46417589,0.467952054,9.614187769216471,65.0047033570428,34.525,76.3
ARM,2021,0.489851107,9.675438569363154,0.444308943,72.4,35.527,65.3572875314441,4.6,0.447767568,0.499924934,9.596032429046057,63.3,34.9,73.85
ARM,2022,0.490185983,9.860651554783615,0.449105336,74.85,35.815,65.5624462874485,4.5,0.444308943,0.489851107,9.675438569363154,65.3572875314441,35.527,72.4
ARM,2023,0.4997233079999999,9.977389778416685,0.481625284,77.55,35.832,65.6956882008852,4.5,0.449105336,0.490185983,9.860651554783615,65.5624462874485,35.815,74.85
ARM,2024,0.507833909,10.035531944366426,0.442622836,75.58505,36.266000000000005,65.8113671449901,4.5,0.481625284,0.4997233079999999,9.977389778416685,65.6956882008852,35.832,77.55
ARM,2025,0.507833909,9.720657721404724,0.442622836,76.75,36.7,68.03,2.7,0.442622836,0.507833909,10.035531944366426,65.8113671449901,36.266000000000005,75.58505
AUS,2016,0.84176233,10.76735193368509,0.82934005,82.5,36.247,87.0166295249235,2.1,0.822562472,0.864498676,10.74644572643619,85.7,37.3,83.1
AUS,2017,0.8417408739999999,10.790654857759316,0.8331224949999999,82.55,36.268,87.12809266445,2.1,0.82934005,0.84176233,10.76735193368509,87.0166295249235,36.247,82.5
AUS,2018,0.836549548,10.82717553378974,0.8487716449999999,82.80000000000001,36.352,87.2267680845925,2.0,0.8331224949999999,0.8417408739999999,10.790654857759316,87.12809266445,36.268,82.55
AUS,2019,0.8401514069999999,10.875890744195225,0.837468389,82.95,36.543,87.3019647888406,2.1,0.8487716449999999,0.836549548,10.82717553378974,87.2267680845925,36.352,82.80000000000001
AUS,2020,0.803186803,10.900143920527931,0.8255700879999999,84.5,37.6,86.2,2.1,0.837468389,0.8401514069999999,10.875890744195225,87.3019647888406,36.543,82.95
AUS,2021,0.8180101639999999,10.973827496533854,0.844436776,83.35,37.259,87.2353407632761,2.1,0.8255700879999999,0.803186803,10.900143920527931,86.2,37.6,84.5
AUS,2022,0.8284870819999999,11.09897212917138,0.857080678,83.25,37.512,87.3343268253813,2.1,0.844436776,0.8180101639999999,10.973827496533854,87.2353407632761,37.259,83.35
AUS,2023,0.8440638939999999,11.188201870964296,0.859860939,83.1,37.751,87.4866955653765,2.1,0.857080678,0.8284870819999999,11.09897212917138,87.3343268253813,37.512,83.25
AUS,2024,0.853425462,11.185964435553364,0.865155896,84.06155,38.4755,87.6021469990446,2.1,0.859860939,0.8440638939999999,11.188201870964296,87.4866955653765,37.751,83.1
AUS,2025,0.853425462,10.867941284647957,0.865155896,85.2,39.2,87.341,2.5,0.865155896,0.853425462,11.185964435553364,87.6021469990446,38.4755,84.06155
AUT,2016,0.785810579,10.866621096914312,0.835831747,81.69999999999999,42.007,67.7218061923556,1.7,0.805185257,0.780871892,10.81072374008964,57.7,42.9,81.6
AUT,2017,0.795783037,10.894325899247884,0.8271990300000001,81.7,42.115,67.9051196052802,1.6,0.835831747,0.785810579,10.866621096914312,67.7218061923556,42.007,81.69999999999999
AUT,2018,0.8094587229999999,10.944408849741544,0.8253564569999999,81.75,42.274,68.1046787227623,1.4,0.8271990300000001,0.795783037,10.894325899247884,67.9051196052802,42.115,81.7
AUT,2019,0.8039736519999999,11.007997879235289,0.8542111099999999,81.95,42.433,68.3176044750522,1.4,0.8253564569999999,0.8094587229999999,10.944408849741544,68.1046787227623,42.274,81.75
AUT,2020,0.8036115509999999,10.977175695581582,0.884396396,82.45,43.5,58.7,1.4,0.8542111099999999,0.8039736519999999,11.007997879235289,68.3176044750522,42.433,81.95
AUT,2021,0.753856847,11.05039690336154,0.866567707,81.25,42.678,68.773601700253,1.5,0.884396396,0.8036115509999999,10.977175695581582,58.7,43.5,82.45
AUT,2022,0.7554189269999999,11.185330670970458,0.851211403,81.35,42.832,68.998085127906,1.5,0.866567707,0.753856847,11.05039690336154,68.773601700253,42.678,81.25
