iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp5,cddETCCDI,35.52316076294278,33.65122615803815,35.16076294277929,34.37057220708447,32.90735694822888,30.152588555858312,35.787465940054496,33.06539509536785,32.97275204359673,33.37602179836512,32.38692098092643,30.38692098092643,27.22615803814714,28.087193460490465,31.408719346049047,30.158038147138964,34.915531335149865,30.51226158038147,34.68392370572207,33.54223433242507,31.302452316076295,31.084468664850135,32.50681198910082,32.29700272479564,28.534059945504087,29.643051771117165,26.376021798365123,34.31607629427793,37.485013623978205,36.490463215258856,37.79019073569482,28.427792915531334,30.708446866485012,34.93732970027248,30.60490463215259,33.1008174386921,32.26158038147139,37.177111716621255,31.80108991825613,34.64032697547684,39.392370572207085,30.705722070844686,31.564032697547685,26.88010899182561,30.732970027247955,26.438692098092645,33.228882833787466,36.22070844686648,40.24523160762943,31.659400544959126,35.88828337874659,36.0408719346049,28.280653950953678,32.83923705722071,35.321525885558586,33.81471389645777,31.381471389645778,35.1008174386921,37.49591280653951,34.91280653950954,28.430517711171664,34.33242506811989,39.735694822888284,30.86648501362398,29.190735694822887,39.28610354223433,40.58038147138964,30.59400544959128,33.3433242506812,29.659400544959126,40.67574931880109,31.0,34.141689373297005,36.0708446866485,33.664850136239785,33.880108991825615,31.100817438692097,38.305177111716624,40.94277929155314,32.166212534059945,34.904632152588555,37.98910081743869,38.05722070844686,40.904632152588555,29.689373297002724,35.53405994550409
AFG,ssp5,cddETCCDI,140.3153846153846,154.93846153846152,164.02307692307693,96.13076923076923,108.61538461538461,132.87692307692308,178.7829457364341,131.65384615384616,183.0079365079365,164.7076923076923,105.0923076923077,125.49230769230769,140.2,126.17692307692307,158.02307692307693,154.33076923076922,149.75384615384615,110.3076923076923,134.16129032258064,177.02307692307693,175.69230769230768,112.86923076923077,160.50393700787401,174.75384615384615,148.63076923076923,129.72307692307692,86.93076923076923,195.90697674418604,166.23846153846154,147.90769230769232,144.87692307692308,140.46923076923076,141.64615384615385,194.2846153846154,122.74615384615385,205.64615384615385,132.2923076923077,107.57692307692308,207.13076923076923,173.36923076923077,159.52307692307693,111.87692307692308,155.86923076923077,180.93076923076924,120.54615384615384,95.9,214.90769230769232,182.27966101694915,160.43076923076924,120.7,173.84615384615384,135.56153846153848,102.13846153846154,136.37692307692308,142.53076923076924,143.8923076923077,127.28461538461538,215.22222222222223,183.75384615384615,128.1153846153846,104.1923076923077,121.98461538461538,224.94615384615383,160.43076923076924,110.1,226.4,177.05384615384617,130.90769230769232,76.32539682539682,215.74615384615385,170.06153846153848,128.4923076923077,169.47692307692307,162.26923076923077,164.08461538461538,137.65384615384616,141.4,151.85384615384615,175.776,162.54615384615386,108.68461538461538,171.43076923076924,145.73076923076923,179.73846153846154,157.97674418604652,140.5
AGO,ssp5,cddETCCDI,98.89767441860465,118.12093023255814,122.9906976744186,146.7674418604651,143.7906976744186,137.08372093023254,121.61395348837209,133.1767441860465,140.0418604651163,133.33023255813953,136.89302325581394,144.3674418604651,127.07906976744187,107.30697674418604,137.86046511627907,130.73488372093024,116.01860465116279,126.66046511627907,127.57209302325582,134.12093023255815,143.9860465116279,138.15348837209302,148.15813953488373,132.2093023255814,139.87441860465117,144.74418604651163,161.8046511627907,147.92093023255813,124.1767441860465,150.46511627906978,122.61860465116278,141.32093023255814,136.08372093023254,144.6325581395349,141.6046511627907,152.83255813953488,112.51627906976744,150.53023255813955,133.32558139534885,146.46046511627907,139.82790697674417,150.71162790697673,141.5767441860465,150.9581395348837,134.4139534883721,154.0186046511628,134.65581395348838,143.5767441860465,163.90232558139536,145.353488372093,114.26046511627906,111.22790697674418,160.84186046511627,159.26511627906976,134.9581395348837,144.64186046511628,171.2093023255814,152.30232558139534,125.43720930232558,166.87441860465117,149.45581395348836,153.3674418604651,147.33953488372094,153.45581395348836,160.7953488372093,159.69302325581396,140.75813953488372,149.96279069767442,155.70232558139534,145.6139534883721,144.1627906976744,136.89302325581394,150.06511627906977,159.7906976744186,142.86046511627907,141.43720930232558,166.5581395348837,150.7674418604651,156.4418604651163,141.15348837209302,144.10232558139535,156.30697674418604,165.28837209302327,154.46046511627907,145.29767441860466,154.66976744186047
ALB,ssp5,cddETCCDI,41.0,37.57142857142857,37.57142857142857,20.428571428571427,36.857142857142854,31.571428571428573,48.285714285714285,31.285714285714285,37.42857142857143,29.142857142857142,25.428571428571427,28.571428571428573,26.142857142857142,41.285714285714285,29.428571428571427,41.0,52.714285714285715,38.142857142857146,59.57142857142857,20.571428571428573,23.0,25.142857142857142,64.0,54.142857142857146,48.285714285714285,28.285714285714285,31.142857142857142,27.142857142857142,42.0,35.57142857142857,58.57142857142857,50.285714285714285,35.42857142857143,48.857142857142854,23.428571428571427,35.142857142857146,40.285714285714285,37.57142857142857,38.285714285714285,68.85714285714286,33.857142857142854,66.0,27.571428571428573,63.42857142857143,36.0,37.57142857142857,26.714285714285715,63.57142857142857,38.42857142857143,32.57142857142857,42.142857142857146,48.714285714285715,26.285714285714285,32.857142857142854,51.42857142857143,41.0,62.42857142857143,61.142857142857146,49.857142857142854,53.57142857142857,44.42857142857143,76.85714285714286,40.857142857142854,43.285714285714285,24.857142857142858,37.857142857142854,43.42857142857143,32.57142857142857,25.0,39.42857142857143,24.571428571428573,26.571428571428573,37.57142857142857,63.285714285714285,40.857142857142854,39.142857142857146,26.714285714285715,55.714285714285715,45.42857142857143,27.571428571428573,47.142857142857146,41.42857142857143,32.0,48.857142857142854,29.0,47.142857142857146
ARE,ssp5,cddETCCDI,321.64285714285717,251.5,267.3076923076923,222.78571428571428,211.64285714285714,223.57142857142858,399.64285714285717,118.0,484.4,526.4615384615385,254.78571428571428,199.64285714285714,173.5,228.57142857142858,202.0,352.2307692307692,368.6923076923077,194.0,497.0,609.0,859.2857142857143,149.78571428571428,336.7142857142857,375.44444444444446,336.85714285714283,183.07142857142858,154.0,277.22222222222223,497.2857142857143,104.35714285714286,524.4285714285714,212.14285714285714,149.28571428571428,394.2142857142857,153.2,486.92857142857144,167.14285714285714,263.0,490.6666666666667,517.6428571428571,332.0,157.85714285714286,231.25,121.0,703.5714285714286,208.21428571428572,407.2857142857143,190.75,752.4285714285714,143.5,362.75,414.35714285714283,139.71428571428572,170.66666666666666,350.7857142857143,378.0,130.28571428571428,533.9285714285714,305.9230769230769,208.57142857142858,108.71428571428571,355.1111111111111,362.14285714285717,225.28571428571428,121.78571428571429,475.2857142857143,341.625,384.2857142857143,239.07142857142858,247.16666666666666,644.3571428571429,162.21428571428572,283.6666666666667,408.7857142857143,484.2857142857143,169.28571428571428,101.64285714285714,375.14285714285717,205.5,433.7857142857143,174.42857142857142,292.92857142857144,262.1666666666667,499.6923076923077,366.07142857142856,234.85714285714286
ARG,ssp5,cddETCCDI,23.093971631205672,29.30496453900709,27.96985815602837,26.643617021276597,26.28368794326241,25.23581560283688,29.081560283687942,28.97517730496454,26.914893617021278,28.352836879432623,25.340425531914892,26.374113475177303,25.20390070921986,25.25709219858156,24.48404255319149,30.81737588652482,26.625886524822697,25.666666666666668,24.127659574468087,25.55141843971631,23.26418439716312,27.49468085106383,28.632978723404257,25.645390070921987,27.28368794326241,23.70035460992908,26.0,27.00354609929078,30.643617021276597,27.868794326241133,24.131205673758867,30.0177304964539,25.641843971631207,29.28191489361702,27.43439716312057,29.638297872340427,25.71099290780142,26.326241134751772,28.5,29.95035460992908,30.076241134751772,26.354609929078013,25.836879432624112,26.370567375886523,26.49468085106383,28.18439716312057,31.163120567375888,30.849290780141843,23.20921985815603,26.413120567375888,28.31028368794326,28.55141843971631,27.171985815602838,27.861702127659573,29.124113475177303,24.22695035460993,28.51950354609929,37.45390070921986,29.7145390070922,25.54787234042553,28.8031914893617,30.8031914893617,24.95212765957447,25.76418439716312,30.4822695035461,32.67553191489362,31.851063829787233,25.02127659574468,29.00177304964539,27.70212765957447,32.322695035460995,25.56560283687943,28.617021276595743,33.234042553191486,27.04964539007092,23.20035460992908,31.891843971631207,35.104609929078016,34.101063829787236,20.93971631205674,33.1613475177305,30.868794326241133,30.45921985815603,28.131205673758867,26.156028368794328,33.755319148936174
ARM,ssp5,cddETCCDI,27.333333333333332,26.833333333333332,35.333333333333336,30.333333333333332,26.333333333333332,37.333333333333336,32.833333333333336,25.333333333333332,24.666666666666668,31.0,26.333333333333332,19.666666666666668,32.166666666666664,24.5,51.333333333333336,36.333333333333336,25.5,28.166666666666668,25.333333333333332,34.5,32.166666666666664,26.5,33.333333333333336,25.166666666666668,22.333333333333332,22.666666666666668,22.0,26.333333333333332,32.833333333333336,21.666666666666668,30.166666666666668,23.166666666666668,30.666666666666668,40.0,32.833333333333336,21.0,38.666666666666664,37.666666666666664,35.333333333333336,33.5,41.166666666666664,25.166666666666668,35.833333333333336,27.333333333333332,24.666666666666668,22.833333333333332,36.333333333333336,23.0,55.833333333333336,28.166666666666668,45.0,22.166666666666668,30.5,25.333333333333332,32.166666666666664,27.833333333333332,38.5,37.166666666666664,27.166666666666668,36.0,19.666666666666668,39.0,36.166666666666664,32.0,23.666666666666668,29.333333333333332,32.333333333333336,32.0,21.833333333333332,41.333333333333336,34.5,50.666666666666664,33.5,41.5,45.0,29.166666666666668,35.0,35.666666666666664,26.5,31.5,55.0,31.666666666666668,31.5,45.833333333333336,48.833333333333336,33.666666666666664
ATA,ssp5,cddETCCDI,79.017480989424,85.72052439659663,103.46145992853496,81.8144127201231,119.99329954471266,109.69785038693036,113.38653829913014,93.60504422453805,122.34718303838591,124.12853059852051,85.24387254901961,115.82887205387205,106.44700811359026,99.671881679063,109.93194161575018,111.25944184491979,83.38207426376441,96.12164204163868,97.7182320441989,112.74261710794298,102.55545128817607,96.37072795625427,102.90338368070205,99.48000343288706,111.67101115938326,90.87353347135956,119.44500083458522,100.12788154130911,102.5861951717103,97.71251465907187,87.84400809034216,86.73675762439808,96.34043793189576,92.4668904741922,93.73046318787168,86.55518141257681,93.03341902313625,104.37334009980546,99.91294830779593,104.16095053509733,89.55852534562212,88.41126336898395,98.118482606107,97.72851398894286,102.54792919171676,96.89087268479894,92.4095165780815,90.19779577523587,74.60521194686521,80.71261389283625,84.03946263643996,96.22016597510374,67.80240275560783,90.83560270654081,95.21986531986532,87.19770172789801,73.86005904681569,94.3948373949223,91.13425345043915,90.93700918964076,82.43337785940892,87.72708962739175,77.1026770586242,100.9798848176279,77.69901699433522,88.78466517301469,79.12227440456223,80.77518090326873,68.38675052410902,85.14085930918282,86.5410354586316,73.3579611489291,68.83830990601348,85.59391622340425,90.87818696883852,73.19835534512833,70.7833208613952,81.94712260216848,74.68126561199001,79.11383684785348,89.99494153744091,74.16133056133056,73.51233999832678,78.37879417879418,80.58906731009236,69.00232133974465
ATF,ssp5,cddETCCDI,7.75,4.5,5.5,7.0,7.5,6.0,9.25,7.5,4.25,4.5,5.5,6.75,6.25,4.5,5.25,6.0,5.75,5.75,5.5,6.75,9.25,3.5,4.75,5.75,5.0,5.0,7.0,4.75,3.75,6.75,5.5,8.0,10.25,4.5,7.25,4.25,5.25,3.75,5.25,7.0,8.25,9.5,6.25,7.0,5.0,5.5,6.5,7.5,8.75,5.0,5.0,5.25,8.0,7.0,4.75,4.75,5.75,6.25,6.5,3.25,6.0,5.75,7.5,6.0,6.0,5.0,5.25,6.25,5.5,3.75,6.25,6.75,6.5,5.5,5.0,5.5,5.75,4.75,5.75,5.5,6.0,5.75,5.0,4.75,5.0,6.5
AUS,ssp5,cddETCCDI,128.77943262411347,109.46666666666667,127.12056737588652,127.91418439716313,118.47375886524823,86.41560283687943,100.36028368794327,92.53829787234042,105.30354609929078,134.3113475177305,118.49219858156029,94.00283687943262,126.24468085106383,105.15673758865248,90.51418439716312,84.9758865248227,104.90567375886525,112.40141843971631,77.49290780141844,96.08156028368795,132.37163120567376,105.87659574468086,91.1049645390071,124.25815602836879,145.96382978723403,95.322695035461,85.84609929078015,70.56950354609928,98.24255319148936,101.12269503546099,116.64326241134752,120.17943262411347,53.48510638297872,64.92127659574469,91.45673758865249,117.02553191489362,133.35106382978722,76.72765957446809,77.34964539007092,93.61418439716311,150.64468085106384,114.69219858156028,104.64397163120567,81.39858156028369,122.55177304964539,81.97375886524823,61.48581560283688,115.83262411347518,123.76737588652482,58.43049645390071,112.93617021276596,103.92198581560284,106.4758865248227,99.88439716312057,72.77446808510638,137.5418439716312,71.21489361702127,95.24468085106383,78.52624113475177,127.79148936170213,113.20709219858156,67.91489361702128,95.41276595744681,132.03687943262412,71.35035460992908,42.706382978723404,99.72624113475177,92.01985815602836,80.66666666666667,78.10354609929078,111.62340425531914,111.08936170212766,57.90780141843972,62.07375886524823,96.61418439716311,92.48297872340426,59.733333333333334,83.54113475177304,86.30496453900709,129.48936170212767,112.48936170212765,100.8354609929078,132.41063829787234,115.36099290780142,110.48581560283688,71.30851063829788
