iso_a3,SSP,variable,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
-99,historical,rx1dayETCCDI,26.515411,26.306969,26.451878,24.763308,26.053104,24.048676,24.518682,25.511955,26.640478,25.092075,25.246826,25.787937,25.33527,26.025635,25.48193,25.049616,24.91589,25.051939,26.27091,25.39092,25.42772,25.972681,25.051273,26.422663,26.377346,25.619186,23.468267,24.856993,24.634773,24.21042,25.438154,26.148584,25.158237,25.706148,25.649628,24.777431,24.619835,24.855818,28.442331,25.760475,24.469679,24.914143,25.144947,24.404943,27.798674,24.92141,25.429188,26.07642,25.06784,23.760519,24.48375,25.28931,25.535553,26.212526,25.235088,24.057758,26.172823,25.431335,27.313921,23.898994,24.327345,24.149576,23.348587,23.197075,24.187717,24.627808,24.404703,23.568737,23.21196,25.126282,25.258518,25.694628,25.228931,24.272509,25.85945,26.233063,24.73667,23.008612,22.38156,24.935339,21.807224,27.17886,24.033627,26.497824,24.192688,26.048855,27.410084,24.644115,24.11952,24.106602,25.111721,27.51797,22.32112,23.297468,24.240866,24.689844,23.114202,24.202154,24.532057,23.223469,23.278542,24.037434,22.946392,24.82292,22.88851,23.152634,25.47423,24.015654,22.6638,24.13498,24.992516,23.757784,24.58379,24.888367,25.245083,24.626348,24.140045,22.317831,22.949396,23.728355,24.80805,24.247595,23.990753,23.328321,25.81105,25.20679,25.794342,25.89423,23.822495,25.255556,25.744404,24.743364,25.507105,22.966711,26.484322,26.232258,24.497421,26.428867,25.071058,24.692314,25.481659,26.771715,25.448843,25.66671,27.260952,24.82028,24.230333,25.954674,26.869135,25.763329,28.819664,25.91807,25.623322,27.643759,27.114979,25.63665,27.881952,28.582073,28.58825,28.503012,27.874947,28.439049,28.644058,27.46852,28.254194
AFG,historical,rx1dayETCCDI,14.6594095,15.619871,20.7107,17.940174,19.617739,16.426907,22.522932,21.672,25.617579,18.337673,15.694745,21.613634,18.09413,22.361256,18.352621,18.204992,13.232912,19.080887,10.032232,27.574816,20.558098,21.817604,24.670784,16.42919,13.374493,17.732487,23.118599,20.415665,18.438223,22.526752,19.052435,24.00101,19.932472,13.849073,18.944921,18.128862,16.29836,12.384433,22.72436,17.064228,21.263388,18.639317,17.32962,16.930674,18.19308,17.649523,21.536522,18.39501,15.903607,14.885247,20.401306,14.255125,9.524667,17.659023,17.264692,18.59779,20.035564,21.937391,17.009949,17.222609,14.118191,14.100903,22.281866,22.431316,18.832073,14.191876,14.749961,19.980972,21.110064,20.87489,25.305891,13.704143,14.456593,17.795023,22.118608,17.057198,19.132734,19.924314,22.04812,17.857988,15.165027,22.106256,18.62142,17.307146,14.31827,22.796791,20.336367,18.028616,14.755879,22.095753,20.644012,18.286905,13.541476,17.787926,21.786465,17.49139,17.548803,17.805468,20.231241,17.277952,23.095911,15.563438,16.581984,23.437126,14.722315,13.480772,20.65379,21.020582,15.300127,29.817629,22.357702,14.061424,15.384541,26.910063,16.105001,18.981493,16.628347,21.651081,13.218776,18.460974,19.53176,18.428316,14.376899,17.526854,32.435314,22.742813,29.60261,23.322649,25.208221,24.091513,18.061705,25.79779,25.045385,18.335234,19.568895,23.742857,19.57952,25.74107,15.794349,18.509853,23.996813,21.23418,26.370722,29.876947,17.911678,17.794464,14.916908,21.009102,21.719461,14.495805,22.057476,22.5081,26.6192,22.4245,19.762794,21.324188,17.224846,27.68965,28.74642,20.613298,21.964405,21.372395,22.868109,14.218644,17.09491
AGO,historical,rx1dayETCCDI,32.859222,30.455147,30.182295,31.69561,30.097027,29.53593,32.12341,33.62299,32.411747,30.957119,35.1135,32.2667,33.533005,29.342033,33.496304,31.043684,30.468699,32.368866,30.492807,31.196827,32.594505,30.480913,31.176296,29.531227,29.610754,32.66964,31.873865,32.300682,30.938599,32.096176,29.784063,31.544205,31.584612,29.640242,32.387592,30.796967,29.724813,30.520016,31.344128,31.71272,31.014067,31.809284,31.593266,30.417387,30.110601,30.718838,32.127888,34.82916,32.539776,31.620644,32.14037,30.922766,31.075615,31.793812,32.284523,29.506994,32.355537,32.20831,30.325983,33.314575,33.232964,30.102798,29.360182,32.174377,32.942993,30.176142,32.74736,32.475975,32.944016,32.611744,32.42013,32.61682,32.31033,32.47838,33.8563,34.56527,32.16429,32.927406,31.812738,31.832743,32.809498,34.696404,31.293966,32.189236,34.893707,32.99432,33.35918,32.47538,31.419456,31.53425,34.068478,32.26028,32.742004,33.349712,33.986713,32.665928,36.848785,32.83007,33.180656,32.562366,31.470879,33.371803,32.751293,30.408682,31.540052,32.80986,31.855633,32.255062,33.97552,33.243263,32.45794,32.122578,32.54509,31.192137,30.803925,35.03273,36.916985,33.362892,28.753325,30.780806,30.889208,33.189056,31.599697,30.684765,32.07604,32.338543,32.361153,32.637993,34.375446,34.00943,33.64928,32.556705,34.235504,32.014156,31.838322,31.747408,32.251934,33.150566,30.602695,31.778551,33.887375,32.740982,30.94897,31.886803,33.07714,31.48065,31.399406,34.219933,32.047123,33.931232,34.01733,30.927713,29.250572,31.384203,33.92225,32.474564,35.04304,30.123516,32.288643,33.15135,33.329933,31.689564,33.902504,33.428265,32.59573
ALB,historical,rx1dayETCCDI,28.763647,30.890247,53.650196,52.886227,61.1888,37.473164,37.008717,30.927303,40.26905,46.437008,44.286903,32.70788,30.442448,34.86901,39.960392,40.45162,36.111298,29.686552,46.55465,54.907158,36.700798,50.27792,46.991856,31.116076,41.987446,61.0682,33.458508,43.753357,43.883068,49.363705,38.320625,27.872057,47.054512,36.321117,38.424343,47.796288,43.273468,38.369656,41.01727,70.16245,39.325466,34.262184,43.899437,47.62617,36.746643,39.088116,41.40636,65.27891,52.083393,36.297615,50.829617,34.431046,37.577923,40.421238,32.97229,37.201572,36.342915,40.090767,39.04516,34.528816,31.448412,45.93838,48.83729,23.809855,39.656696,35.03499,35.837,30.051607,44.014614,36.71523,67.14032,30.294306,32.96876,31.404835,36.878777,49.052105,35.54224,55.066772,46.776665,82.94079,42.316856,42.744965,34.722424,41.709194,50.457405,31.880222,35.471794,39.069874,48.563564,37.887817,41.93754,44.7201,34.09991,31.20892,28.484013,26.738882,39.104095,33.588444,37.87951,40.737186,43.368233,34.28883,43.864437,30.622044,34.930885,41.299953,31.69612,52.890877,31.990313,40.503223,44.506245,36.071037,42.307617,45.381573,41.052216,34.239708,33.492832,33.419113,29.945553,54.821728,32.39524,42.259914,42.240696,42.981453,34.737156,43.629482,31.462244,29.93486,50.646576,67.84737,40.560364,28.409992,29.669498,41.399036,41.03835,41.336254,33.030674,28.366974,53.00408,33.67767,66.56321,37.564785,42.797123,31.754515,36.526752,42.96682,38.520622,43.923634,41.35271,26.560516,40.658806,88.49126,41.419914,57.868156,35.724033,29.113089,50.123253,34.86925,54.9669,38.16391,38.824886,41.579197,44.79455,31.094341,54.895123
ARE,historical,rx1dayETCCDI,20.235897,9.325691,10.851295,1.8914983,4.102807,9.575126,15.664612,10.439018,8.33598,8.035486,3.9612067,16.154621,10.942239,20.068066,6.64202,4.0721626,6.018286,7.868202,1.293275,11.974544,28.12735,9.279272,10.6370945,5.8446155,19.875122,19.014832,3.1280746,25.862474,3.249717,11.041709,3.1581552,11.721299,8.130006,4.253286,13.791138,3.0061743,5.659684,2.2323062,7.5160823,3.8645778,9.6990185,6.279517,24.940601,2.8017704,3.249722,9.812159,22.550198,3.3906856,1.9479417,12.659715,4.669988,0.6213185,1.4339417,13.692084,14.190526,7.6761823,5.4574103,12.290948,3.215487,2.8023143,4.547567,5.7803736,1.7301487,6.738543,1.0078806,2.8288586,7.6650467,5.5988836,1.7725497,17.339277,7.7371264,6.501338,2.346809,11.279281,18.982021,2.2607274,9.2563715,2.4868393,5.127561,12.777093,1.528577,2.0030596,7.418739,10.691676,3.5826957,6.963412,4.7091856,8.939671,2.8257291,11.876848,12.009262,3.4112728,5.5617976,2.240795,9.016397,5.4801774,6.0353665,1.2613115,7.558757,2.4560516,3.0384076,13.548957,4.7625737,22.957869,0.9335192,0.47155097,11.052405,5.612797,4.255344,5.5517964,23.117634,5.7430053,5.900772,14.90972,16.784801,7.349748,1.1396323,9.035837,3.757808,45.936707,15.020941,1.6522157,2.3137012,11.06524,49.43179,5.638007,29.071795,9.134847,13.36447,4.12085,5.0395255,23.230265,19.963495,13.1785145,8.029551,6.24733,8.393432,6.0699844,2.9982924,6.085562,28.463018,5.854725,3.6841083,17.338266,6.196906,4.582108,5.5624557,8.192785,10.451735,6.1605825,2.1495643,6.4925,4.3738194,3.9838219,8.790734,9.367273,3.0507202,18.338808,36.460274,34.239326,28.321054,5.4281836,17.91174,1.757541,2.8966956
ARG,historical,rx1dayETCCDI,44.53334,45.723316,44.01442,44.454487,44.28974,42.035694,43.076202,40.85151,41.995995,43.146095,40.160206,38.25233,40.897766,43.803867,41.31482,40.121265,42.30913,40.63635,39.10884,44.381016,42.193295,41.78554,41.38984,42.356228,46.771675,43.413734,40.322357,41.88998,42.333927,41.13189,48.709602,45.83085,42.63935,40.41904,39.343105,42.61368,39.659683,38.72744,41.560425,41.657047,40.268253,41.122936,42.453575,43.21966,42.62088,41.79294,43.080666,45.260517,38.77704,42.376106,47.951267,43.650494,39.549057,44.396114,43.13054,43.273994,44.220234,47.64868,42.677677,44.528503,45.045,42.511635,40.642376,42.85532,42.8987,39.316364,39.22897,42.041115,46.05222,42.003376,43.574917,43.586224,41.344936,44.874424,43.349842,44.08881,41.36363,40.773117,42.67485,43.708805,40.491116,44.182304,41.51254,46.943943,40.662285,42.778248,41.490578,42.061428,43.755226,45.30377,38.801567,40.37909,42.695614,42.554733,41.13984,43.24382,43.16599,46.659077,41.41197,38.197384,44.83713,47.599945,39.47713,43.11329,47.752148,46.872517,42.82662,40.75386,48.696404,44.665386,47.27505,41.210815,44.627014,43.757114,42.66743,46.696915,42.446102,44.39981,46.700886,41.75359,46.1948,49.201454,43.27127,43.392296,43.200214,41.07878,41.81429,46.185562,45.765724,45.322094,45.789253,41.860523,45.91544,42.24754,50.9908,44.639214,43.860065,46.19199,36.52049,39.1561,45.618702,45.856796,42.49581,47.969257,42.486988,40.54263,42.500473,47.149017,45.87242,47.834686,42.322098,44.405193,42.6658,46.70265,44.38193,41.61289,44.602196,43.891438,46.19475,45.96039,45.79667,44.643604,47.75433,42.380325,50.151787
ARM,historical,rx1dayETCCDI,34.6454,25.161299,37.439205,24.535433,20.694605,19.831081,23.49717,24.568634,31.25469,23.148058,22.50939,24.289099,23.19764,25.6788,22.073961,21.984413,22.737593,19.885015,23.955376,21.15547,24.091436,25.646517,24.493307,22.455202,22.529402,17.819132,26.735804,29.47573,18.615307,21.151686,23.472984,24.119738,19.344866,24.034607,23.211996,22.979288,25.083197,23.171957,26.00987,33.065685,22.513235,24.29,26.864218,22.162912,23.679253,21.406672,25.661097,28.795881,27.048967,32.457386,24.12953,21.753744,19.77319,23.530006,21.905249,17.559753,22.834694,22.878813,18.287725,32.177914,20.067722,20.674143,19.288477,23.897131,24.8627,22.618505,30.050528,24.44503,21.070505,28.722555,27.751776,21.056738,20.637506,20.17771,23.761772,36.20519,18.731749,21.140036,21.999216,23.606073,28.286057,22.435053,19.463102,21.094664,18.008097,20.823729,31.016388,22.71518,21.35378,18.710617,23.24354,21.449266,25.716005,26.077875,24.60642,23.398027,21.494883,27.800913,29.64974,23.512457,27.602386,25.486208,22.81795,24.794144,20.813522,23.563677,25.96116,23.227087,20.798073,23.023973,21.577051,18.030237,24.405273,29.1678,25.898178,20.088022,26.951262,25.038534,18.609844,24.837349,23.660278,25.898499,21.73059,30.033087,28.536772,23.688456,23.15486,19.88899,25.807508,21.913612,24.609436,25.698433,24.496931,26.81247,19.658056,18.622349,25.634756,20.125982,26.225014,18.320116,21.864845,23.433556,27.213152,19.977428,24.447676,23.161215,24.699575,20.57199,23.654892,20.68299,21.41224,30.909513,21.113947,24.48414,27.006403,24.07129,32.17229,24.393524,31.418669,26.091345,26.35158,24.805634,22.5464,21.743647,23.621164
ATA,historical,rx1dayETCCDI,7.649057,7.3471975,7.652953,7.428636,6.8791122,7.23312,7.422119,7.1062098,7.318805,7.1041207,7.3512836,8.317395,7.858158,7.409462,7.6703877,7.9594746,7.66097,7.6055503,7.5709376,6.6439505,7.4777126,6.8404126,6.3796263,7.569629,7.6324577,7.8751307,7.7781067,8.047267,7.1497445,7.0336323,6.949277,7.2292595,7.4430456,8.147728,8.507903,7.4408364,7.381699,7.1297626,7.2432165,7.1567926,7.7824326,7.625377,7.4458585,7.113503,7.2229514,7.1514053,6.7446856,6.64648,7.352325,7.867501,7.2710333,6.7004566,7.2615356,7.6940017,7.303155,7.916461,7.861693,7.835995,7.2419953,7.4903836,7.7780204,7.423878,7.7040663,6.615573,7.8689837,8.108006,6.8442726,7.099966,7.8788333,7.638376,7.4359503,8.109791,7.3267765,7.5629215,7.5318723,8.231519,7.703237,7.9728274,8.095953,7.4327602,7.791656,6.210498,7.9752083,7.217525,8.278362,7.854719,8.390609,7.160395,7.0506344,7.82819,8.08372,6.799501,7.3564467,7.7472105,6.662195,7.03364,7.87817,7.251618,7.263095,7.6449184,7.255112,7.499295,7.7710404,8.454081,7.1955166,6.3102283,8.450877,8.241534,6.846761,7.938626,7.1878076,7.752324,8.021365,7.7424583,7.48637,7.6773663,7.56641,7.6472554,6.7401624,7.475955,7.8575816,7.2320704,7.4504404,7.6513166,7.920087,8.04281,8.193399,8.065035,7.4957232,7.8769717,7.7079434,7.5980844,7.7465816,8.564643,7.908226,7.713517,7.584038,7.4265904,7.4709134,8.3745165,8.2777,8.141154,7.115805,8.073423,8.144354,7.350718,6.887431,7.1336,7.2956185,8.012209,7.7150908,7.65199,8.133077,8.003318,7.7777414,8.522399,9.290159,8.533579,7.924419,9.119763,7.5850353,8.506978,8.4422455,8.195344,8.774149
ATF,historical,rx1dayETCCDI,37.166748,24.935509,37.775734,29.778812,34.757812,29.213602,27.06496,35.361233,24.408566,28.546562,29.11114,32.280777,28.554543,35.230946,27.203959,25.8164,31.6569,25.099813,36.302948,46.709484,32.743214,30.252531,25.275188,27.388424,30.53096,29.247961,40.46576,56.896255,36.633034,25.327295,31.225676,30.15984,23.625898,29.75637,74.36038,26.214378,24.115198,22.779943,52.407066,21.043304,33.01591,28.27595,29.04741,17.649734,27.949867,23.888414,36.07393,38.959606,25.887468,26.268908,33.613884,32.967716,30.609604,31.03344,35.11617,36.43395,44.71479,22.014557,33.544033,26.602886,48.59282,46.710075,22.886131,28.337011,33.75647,28.689507,50.53281,30.495039,28.678253,22.28102,41.646774,26.57426,31.184052,23.493196,24.54324,34.16142,24.673895,30.59616,43.40591,31.191792,26.310543,29.433456,32.849262,27.59381,29.206028,22.913906,31.322489,34.60728,39.91056,24.141228,30.914326,29.709175,28.894186,27.40582,29.537367,30.236195,23.385092,34.457024,32.709484,29.18185,30.78709,27.772127,21.512753,39.92565,29.499378,22.83525,37.056168,30.342348,33.637802,26.99927,34.403107,23.831154,35.80896,33.050842,28.74118,32.480618,40.2608,24.975239,31.107798,28.18962,24.027481,22.589895,27.896221,33.120316,27.055489,31.92863,33.46515,23.482626,24.906988,26.249355,33.163063,34.944153,37.94043,22.11625,20.538563,37.282578,25.647408,25.949284,26.71012,25.09127,32.56456,35.28377,25.110582,24.215105,32.7035,28.265192,20.700449,46.28405,27.598543,33.245544,31.927114,33.30315,57.083237,34.60356,20.774551,31.0171,36.95479,30.508602,36.661728,28.796194,25.451233,25.891449,32.57511,27.843369,33.45789
AUS,historical,rx1dayETCCDI,39.285408,42.2466,38.41845,38.758854,40.73775,41.726437,41.353313,38.273865,39.919758,40.200153,43.31388,41.038113,38.937634,35.998295,37.820854,36.28251,37.65082,38.22703,44.40714,36.408875,37.899952,33.989773,39.772873,35.08775,42.206184,37.46794,43.25298,31.23448,42.533882,42.06496,35.497517,37.459324,41.5233,42.865837,38.06028,33.02735,34.538734,41.036263,36.525837,35.50976,34.925972,44.39714,35.112186,34.863586,36.37105,39.164948,39.004772,44.654797,41.584072,34.208736,33.39555,40.610867,36.878197,37.014923,38.02777,34.674236,39.652084,37.987083,34.710762,34.61255,39.59267,43.578503,42.137318,40.845776,38.887962,43.969604,40.85511,34.088078,45.552486,34.3759,41.634758,32.749584,38.96776,36.924065,32.588306,41.467907,37.93727,36.44903,38.35184,31.349352,40.250072,38.27077,37.74319,36.2117,39.03669,43.796806,34.179054,34.729713,43.339203,34.05186,39.669834,35.861576,41.155315,37.217056,34.659447,41.6913,32.774014,38.98305,38.280296,43.494522,43.74206,37.679947,42.467278,38.49097,37.26837,42.22416,41.577343,33.83661,40.77885,40.30338,44.94117,43.166344,41.207897,43.112617,39.148827,37.241543,33.438984,35.810173,41.237717,39.814987,37.03496,35.974525,39.565742,37.494896,37.845284,35.68636,41.716915,36.331516,39.25584,38.88794,33.79004,42.596344,41.89147,40.013252,43.33991,37.68058,29.596651,31.463766,39.699074,33.829914,37.26471,39.898342,43.388744,34.06877,46.609077,36.60531,38.55884,37.59302,34.99017,47.069775,38.065216,39.9239,33.213577,33.06492,42.20071,42.306545,36.067013,35.668995,41.238953,42.753765,34.704437,38.37866,33.80221,43.288383,44.928642
