iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp2,rx5dayETCCDI,63.20217,66.970375,64.13766,73.03015,69.44547,66.186104,72.1328,63.25248,65.24182,67.57638,67.61097,66.98786,56.679672,64.988304,69.11714,57.624733,65.836815,67.49541,69.32954,65.82298,68.43488,68.74587,66.163025,65.58052,65.12107,63.2753,66.20159,66.0251,68.6694,61.197674,62.47101,68.55042,67.91127,70.58086,64.48392,70.79843,65.00124,63.338177,76.20428,71.40371,64.63181,68.64053,69.21737,72.225174,67.66562,70.59962,64.68485,75.274536,78.94205,66.07564,71.729164,68.000786,62.66777,65.013504,69.911,68.43368,70.30088,68.99803,67.62576,78.99232,64.732765,72.78756,63.513798,69.660065,67.057755,74.15899,68.658264,67.29014,71.77681,69.224365,69.032036,72.97297,66.151115,69.02804,77.60605,71.48903,70.25443,68.790535,77.21873,67.237465,79.34552,67.25714,64.08684,69.22052,73.698784,66.97602
AFG,ssp2,rx5dayETCCDI,47.599472,41.346863,33.84676,51.228188,56.076183,30.615248,41.013412,38.263016,33.55011,47.89018,75.59653,43.479954,35.63103,36.52436,42.08509,36.539856,51.11668,46.913456,24.042305,39.550667,52.583008,31.204176,57.06498,35.57796,45.896706,30.731865,53.39474,52.567886,27.703718,32.67553,47.912888,44.41256,42.40675,33.738758,46.78263,51.41424,35.447384,34.228706,44.327576,48.85828,38.13349,49.039207,45.526398,37.259342,55.917618,45.85054,42.729675,42.00962,54.49666,34.771053,46.37631,41.210854,24.25829,33.625927,33.58299,35.056072,35.096558,32.82967,44.449432,64.97427,29.503271,33.89453,43.1629,33.67805,44.74164,68.24826,35.769646,41.391342,43.22956,38.631752,51.002167,35.956375,24.907843,47.898006,67.16159,51.901802,45.84152,50.96947,47.26725,33.877693,53.67848,53.543114,33.509712,34.252575,45.359413,59.946068
AGO,ssp2,rx5dayETCCDI,105.81683,101.00381,92.65535,92.92684,97.36527,93.888336,95.899,94.28469,100.5735,104.288025,99.510414,93.44763,92.562256,98.52213,96.827415,96.267525,99.76245,97.8858,96.4402,96.527115,108.39622,101.48975,93.12589,107.07532,103.08641,104.03843,102.867134,100.917786,106.2478,94.7521,104.15612,101.406395,101.96962,98.463684,100.08821,103.64061,97.94857,103.17368,94.128944,99.48451,100.48227,98.98492,100.49182,103.10356,102.58951,101.3124,97.84423,107.61471,105.01501,109.25671,97.38938,99.90683,97.40283,96.62935,101.319595,108.258354,97.950966,101.98131,105.26018,112.42739,100.58967,106.85981,106.566345,103.44869,109.22329,112.42095,99.07842,102.76445,103.102,104.38713,99.950745,103.87824,107.49158,111.574,106.294716,100.46122,107.74849,107.28603,106.50716,99.282585,107.62204,104.21649,96.88551,106.41676,113.843094,106.55704
ALB,ssp2,rx5dayETCCDI,87.31346,86.94957,99.522285,85.1558,72.10592,112.296555,107.006996,85.59436,97.325745,94.26219,103.14116,104.73922,90.6441,93.71276,73.35755,115.807434,110.819534,100.76099,116.955315,74.85036,89.18453,92.17458,87.29559,94.968506,162.44914,69.63696,73.57467,61.775753,87.229004,83.847946,107.000984,82.072624,72.87428,92.068184,76.55286,79.79574,108.95725,68.61396,93.58501,121.6594,72.59911,144.83578,82.455215,90.39248,88.70056,98.205696,128.12723,86.35359,116.44619,172.68126,119.040184,79.009155,112.85786,151.87915,86.724754,103.70988,82.89967,86.295166,96.55943,97.461,67.65047,105.93007,101.418724,84.58769,68.58311,95.273705,82.53502,105.71393,93.82421,85.500145,104.383316,79.9661,64.32149,69.5227,93.4828,91.64448,78.01629,84.68528,103.88031,112.14586,128.121,74.284096,85.42098,112.98482,74.45553,83.180244
ARE,ssp2,rx5dayETCCDI,8.588296,33.632095,8.398602,28.91875,38.788063,1.1702778,35.15878,15.358459,3.9281867,26.764803,60.993107,6.0374556,7.712933,7.5004425,7.1106873,13.155454,3.239309,32.325775,2.2914448,74.03783,4.3050056,1.1410491,15.115519,5.855273,17.229311,1.5803045,44.291252,7.497157,14.119766,1.6539961,5.000508,15.162127,18.563202,17.122284,9.255697,65.23965,4.4471936,5.05256,22.216625,12.260404,39.79734,10.242534,25.715603,15.917193,54.25463,5.411015,9.183,12.061072,7.612516,6.837289,12.748842,10.584212,0.7770415,3.3192024,14.159524,6.3004394,8.992837,36.182224,6.217635,45.725395,4.5226574,17.654303,5.8502173,1.8585844,8.417748,38.160004,3.7431152,4.7853827,7.8974867,7.9940042,32.642303,37.10944,2.0631938,3.6177728,3.3770242,11.444741,3.540941,8.643897,13.348478,8.956351,22.140974,27.922892,0.9531232,48.245106,8.607241,5.125399
ARG,ssp2,rx5dayETCCDI,93.02521,105.66055,88.17247,86.99569,98.898636,87.64731,95.006546,97.37325,94.6653,90.32038,96.64509,99.45759,77.586716,94.79007,90.56681,80.60052,100.06989,87.69125,95.07879,86.24986,93.66071,83.22938,89.22141,84.42341,85.33258,82.13109,99.3463,93.13033,80.722305,84.94828,89.60085,97.20562,92.691864,87.99179,91.21362,98.414986,80.025665,81.21351,91.80115,98.672264,91.3516,85.16197,86.41792,99.08623,99.85806,118.62519,90.26883,94.58127,90.685646,91.97379,101.88396,100.09847,90.61192,85.26266,80.66549,98.92986,96.10324,97.16378,96.87912,101.31891,83.54504,96.76158,93.54444,94.103325,96.08797,95.44588,90.27513,94.50049,87.08986,94.01815,98.61477,107.87108,86.84226,82.603294,90.84207,105.57214,87.850685,103.77779,99.364944,85.57232,86.88585,115.06471,91.13496,94.87577,103.09762,81.95884
ARM,ssp2,rx5dayETCCDI,58.04822,45.087208,59.60678,59.58372,63.744476,56.54059,64.64615,37.190334,48.888462,64.39833,75.71453,47.717785,44.59125,47.01927,80.00605,57.7471,59.114536,59.63146,73.38859,49.279385,48.99208,48.388657,48.340652,58.153973,52.47697,55.138546,70.7167,54.857727,58.618557,58.829548,45.459164,71.51277,56.86266,57.49515,55.80492,61.877274,61.19691,44.84416,65.70446,65.252235,73.89491,58.783096,58.201687,49.97412,65.001,53.95691,58.06529,53.313656,74.26252,60.148396,90.91335,72.30811,64.41798,61.333073,53.449497,62.49069,76.54517,52.252354,64.329994,73.83536,50.64899,68.5668,48.95873,59.727856,78.50745,50.282166,56.688107,54.703533,45.585693,68.223976,52.921528,75.12018,58.458923,61.306103,55.815643,56.365406,53.075848,58.30728,65.7712,62.715527,59.676785,79.24513,49.302105,50.05057,62.73823,62.664413
ATA,ssp2,rx5dayETCCDI,16.805033,19.27519,18.333218,20.069323,21.484932,19.123604,17.522617,18.475834,19.159668,20.05884,18.258854,20.905949,19.084589,18.735853,18.926313,18.15432,18.581474,19.433489,19.020622,19.694345,20.001253,17.920452,21.705835,20.504562,19.718102,18.594673,20.404243,18.071636,20.38422,16.628056,20.712612,20.50686,18.99621,18.882113,18.728426,22.150362,20.019745,18.425102,19.297506,18.960829,19.246756,20.299606,23.066715,17.28017,20.485046,19.458973,20.75,20.165361,19.801582,21.297459,19.23989,21.71905,18.847797,22.228655,19.305965,21.613256,20.645367,20.963673,21.581192,24.017881,19.10547,20.112492,19.778345,21.888094,18.983328,23.47369,22.045017,22.588198,20.812637,17.926067,19.680498,20.668013,18.738577,21.327654,19.845299,22.861712,22.387732,18.876974,21.682976,20.674877,20.24692,20.020504,20.139116,21.546978,22.193213,20.575228
ATF,ssp2,rx5dayETCCDI,60.202274,55.08568,61.755592,53.246655,64.84027,61.717026,53.777107,82.6508,71.08072,57.515842,52.47622,69.0882,55.54801,60.3396,53.61133,62.389416,103.75961,74.34342,58.725464,51.620266,51.484493,61.574276,70.59466,57.04567,69.1121,51.947,68.21123,75.09506,65.03871,60.028584,66.06061,94.908,65.16554,56.166176,80.08126,63.902954,79.68982,51.46882,56.093956,83.74596,73.0208,73.51686,58.508965,53.11728,59.129242,54.711575,78.46681,59.893646,53.327766,51.55278,78.28153,64.66851,58.81482,70.41335,60.505096,49.998318,69.41327,63.17617,77.288956,77.132706,63.091805,77.75461,85.64196,59.295,54.89613,77.93906,82.362976,59.413273,88.08538,65.11006,94.704926,83.711365,74.23253,60.991947,64.04898,70.01023,72.937996,59.249985,63.72754,99.15233,75.85275,104.99799,54.095913,61.318417,66.77439,58.684563
AUS,ssp2,rx5dayETCCDI,100.53458,88.79039,76.31423,65.54446,101.82435,99.30324,92.719215,73.80578,95.81789,105.10048,84.70015,94.45755,95.68105,107.16264,54.188198,87.86673,92.47718,68.80723,84.88712,78.21666,91.196556,99.03751,91.1717,84.71449,71.63726,88.420456,88.7256,106.03127,109.96661,102.58452,92.78347,104.30172,109.44073,104.972244,85.50764,84.24114,86.61117,108.5503,81.91361,78.78826,108.06328,86.987045,81.25116,90.42597,100.38946,99.56022,89.82307,99.701,80.58178,94.71453,97.782936,66.042145,80.770325,102.05814,97.59622,114.29207,74.65122,89.63419,86.372604,93.10185,115.87851,90.88324,82.513245,98.40115,95.42758,97.87664,106.127945,108.09475,108.964905,96.46386,91.87408,103.5622,103.072464,103.39863,99.58003,85.08353,120.241234,99.64875,89.85791,107.84314,97.24693,112.744415,115.24387,94.428505,91.93517,91.79564
