iso_a3,SSP,variable,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
-99,historical,tx90pETCCDI,8.541675,8.73353,7.0442667,9.403158,10.502034,11.002202,9.118387,9.321041,5.2472844,10.789444,11.887851,6.291665,10.228808,11.40383,12.219145,7.985517,7.639133,8.735023,13.676836,7.5032663,9.648016,10.446792,10.603624,6.570117,10.399761,5.4413795,8.134185,10.934269,8.311747,5.7459593,9.3216305,15.022209,9.998134,13.673994,6.8961153,7.398007,8.958979,6.7507744,8.052292,10.110858,8.364003,8.332649,4.212266,6.3372025,6.3028626,5.8997426,10.971397,11.151506,6.6940393,10.684185,8.902989,6.293905,5.315964,4.8635736,3.279433,5.317457,7.6465974,9.891381,6.7539196,7.527901,9.895114,7.7839575,5.6327333,7.857863,8.320705,3.7699227,6.380191,5.7392406,7.0292263,11.0917845,5.1763673,8.66261,7.9481916,6.255832,7.760456,4.8419247,6.7089696,6.624613,6.719673,3.6878057,5.2719197,2.8494644,6.796355,7.8474116,3.7049756,6.9082904,4.4236984,7.71901,6.376022,3.985667,4.7133007,8.045985,4.6784368,4.3999853,5.252304,5.984846,3.3227575,4.2797956,5.0773516,5.380165,2.7345004,4.629913,4.123673,6.2730026,6.361091,4.5881076,4.9768467,6.228957,4.494793,5.407786,6.6764936,5.4525776,4.2066364,5.6399536,3.3590922,2.410511,6.0064945,2.9689074,5.3416414,2.433653,3.8766751,5.6608562,3.495332,3.0107126,5.6713076,5.5451455,4.7870045,5.4152513,5.2077193,4.671718,4.2346005,6.761406,7.707117,2.6520486,3.313448,5.632205,5.526946,6.834951,4.6782846,4.813093,7.4918623,6.669095,4.5690002,7.9052534,9.134797,6.083978,6.6543136,12.19635,8.704288,10.018109,9.891183,7.326598,13.349028,22.948673,16.441526,22.065079,19.797977,16.773518,20.486078,23.476284,20.196953,18.25837,27.953724,25.18383,22.929342
AFG,historical,tx90pETCCDI,7.9494205,7.3192835,7.408575,7.0495257,13.563751,9.890411,4.5187054,2.748156,9.369863,6.265543,12.423287,6.773446,6.2528977,7.4942045,7.847835,8.210748,7.8187566,8.370916,16.956705,14.339305,8.029505,12.885142,13.295502,9.378293,11.848261,11.005269,7.704918,10.596417,5.660695,10.25922,5.8238754,10.018967,9.576396,4.944152,7.0239596,6.62803,7.4773445,9.624868,8.69483,9.053741,12.105374,8.975764,9.379992,7.2644887,9.032666,8.9293995,7.078604,8.018967,9.917809,11.922024,8.775553,6.6469965,19.549,4.8029504,3.282892,15.831402,7.972603,7.1822968,17.946615,13.898841,7.987355,15.884088,5.5653634,7.8271866,5.3403583,9.879873,6.893653,5.6501584,8.035827,9.346681,3.3417404,7.9494205,5.1253953,6.229716,9.392602,2.5100105,4.3962064,14.035828,7.1458592,9.51528,7.639621,7.936775,9.102565,13.43098,15.121181,8.080085,4.247583,14.0252905,7.844046,10.74394,6.429172,12.541623,15.576396,10.965227,5.296343,7.6691256,8.587987,4.9567966,6.0529633,8.269757,6.6743937,5.504742,6.8053803,6.0716543,7.3319283,16.621708,11.893652,15.854584,11.43941,10.965227,7.992854,13.199157,13.173867,5.7386723,4.659521,8.398314,5.1359324,9.768177,10.168138,5.0663857,3.4373024,6.8071656,8.175704,13.14647,3.3213909,2.5879874,1.8915511,3.1443624,3.9178083,8.6807165,10.058848,6.21896,6.737764,8.101159,7.532577,9.839686,8.702736,6.661604,11.993086,11.663674,4.7996073,4.3893027,6.0444837,4.933251,8.398677,11.911849,24.144236,8.823589,3.995567,23.280476,16.137321,17.061733,16.968134,17.542095,8.976533,10.148832,10.84619,11.73046,6.832485,10.116784,15.967008,19.35511,11.870534,16.933615,24.96944
AGO,historical,tx90pETCCDI,5.842625,8.778592,9.729318,9.510035,5.1251993,10.644155,14.815097,8.844855,5.5189548,10.955082,7.2093024,6.4912395,2.9690983,5.243708,4.296607,4.5211854,15.253265,5.080599,5.7415175,3.6215355,13.89742,11.552724,6.6997075,5.7992992,5.628544,4.811723,6.660312,4.5122647,4.742912,7.129659,5.7885375,11.472444,4.030583,4.0344057,3.7527006,6.317936,6.823829,3.99108,5.9003687,6.4224277,8.149092,6.4746737,19.665777,6.445365,11.274928,12.201338,7.9133306,5.7011786,7.5769353,7.2927685,8.795157,5.338006,11.594775,3.6533928,5.2319226,7.7323985,3.7604334,11.78337,10.09404,5.75215,4.391207,7.369226,10.687508,9.632367,6.55368,2.7002232,3.149066,8.429436,9.306149,7.9018793,14.468166,6.2261868,6.6594453,7.273654,8.190368,9.842625,5.413189,3.2545395,5.5407295,8.550494,4.4523735,5.7266645,4.291524,8.876713,5.05129,11.37942,7.998475,3.9847085,8.906021,7.829245,5.9524717,4.5504937,8.242115,4.235744,6.538315,4.057343,7.74769,6.153552,3.662473,5.5189548,8.443453,2.2899013,1.6825517,11.46862,13.363491,4.1720295,4.2152753,9.970054,8.481682,7.2927685,6.3235483,3.3947117,3.8585536,4.99777,3.5722454,6.6772857,5.3877034,3.0187957,4.8760962,2.937241,3.1525965,6.582988,4.057695,5.3889775,10.232558,3.4112775,1.5173466,11.963045,4.867792,3.4495063,7.3287587,5.6619835,3.8756466,2.6583033,4.522548,8.153178,4.2747636,11.319001,2.57076,2.6601925,6.605222,17.392097,5.758783,8.694401,3.799365,9.052037,6.1556697,13.611847,12.192902,6.684097,10.584046,11.592841,21.110521,16.893848,17.82306,14.859905,21.30593,16.391163,20.098553,13.677143,20.23236,18.863333,18.66438,22.227463,19.01115
ALB,historical,tx90pETCCDI,27.358122,21.330723,10.616706,4.187867,8.219178,3.7181995,14.754098,10.410958,16.007828,12.837573,18.89149,10.528376,9.941292,12.720157,23.419205,21.487278,26.262232,16.947163,12.919594,7.436399,25.362034,11.585127,9.992194,13.581214,16.32094,13.69863,4.098361,9.667319,20.665361,6.223092,7.806401,4.6183953,12.798434,13.463797,13.192818,12.250489,3.8356166,17.064579,13.075722,14.363992,4.6966734,3.1311154,13.075722,5.1663404,13.150685,12.093933,13.114754,9.941292,10.528376,14.911937,5.322896,4.4227004,5.5185905,3.1702542,6.7135053,8.493151,3.9921722,12.407045,7.259953,12.054794,7.827789,7.318982,10.187354,12.093933,20.978472,9.315068,10.88993,10.450098,14.246575,22.739727,5.542545,8.062622,12.954989,14.755381,11.163154,8.962818,16.67319,14.833659,2.2638564,4.853229,8.454012,6.5753427,6.440281,2.661448,6.105675,8.5322895,15.105386,3.5225048,5.8708415,5.440313,7.142857,10.841487,5.714286,1.6829746,16.900858,8.375734,4.4227004,4.9315066,6.830601,6.027397,10.332681,7.827789,2.8103044,11.624267,10.254403,7.8669276,7.494145,15.53816,3.444227,17.299414,12.099922,8.258317,12.563601,6.849315,4.0983605,0.70450103,13.1115465,5.401174,2.9664326,6.3013697,9.6281805,8.610567,6.362217,16.438356,3.6399217,8.571428,5.620609,7.084149,7.671233,8.571428,5.581577,5.4268165,4.5617113,4.6318917,8.43226,4.7344623,8.227275,7.408057,6.324531,10.379918,3.5225048,17.246778,3.7403429,6.027397,22.873339,9.145017,7.3932004,8.153047,12.724206,18.967543,16.521307,15.515216,11.899589,10.7956,7.2841797,14.500303,12.694513,13.930764,15.122884,21.074297,9.996626,21.956945,17.48634,12.172212,14.79452
ARE,historical,tx90pETCCDI,2.4657533,4.774951,9.074942,2.367906,4.6183953,3.659491,6.147541,5.225049,4.6575346,4.8336596,3.8641686,7.6125245,3.6203523,3.3659492,5.8743167,4.970646,2.6027396,7.651664,10.30445,8.121331,3.248532,3.2093933,3.7861044,7.0645795,5.146771,2.113503,4.918033,3.855186,4.9510765,4.0313115,6.7915688,5.7925634,5.440313,3.8160472,2.7907884,2.8767123,1.8786694,3.033268,4.527713,5.3620353,3.2093933,2.818004,8.333333,1.1350294,4.3248534,5.714286,4.586261,3.2289627,5.7534246,1.5655577,3.6007826,3.033268,1.8199608,1.3698629,2.4004683,3.4050882,5.4794517,5.322896,8.196721,2.8375735,2.6810176,7.847358,2.5370805,2.9745598,2.446184,3.3463798,2.4004686,3.072407,6.3405085,4.5009785,4.469165,3.659491,4.4227004,2.818004,2.8688524,3.444227,4.0117416,8.6301365,9.4262295,4.403131,1.8786694,4.3835616,9.211554,4.227006,0.8023483,1.409002,3.8641686,5.8317027,5.968689,6.262231,2.1077285,4.363992,4.44227,4.657534,3.5909445,2.6418786,2.9549901,1.5655577,2.9274006,3.1702542,3.3268101,1.1937377,1.2295083,3.483366,5.772994,4.2465754,4.293521,7.964775,2.7592957,3.3855186,7.611241,4.853229,5.283757,2.818004,3.1225605,5.636008,4.2465754,3.483366,4.6838408,1.8982388,5.283757,2.6027396,5.074161,2.700587,5.9295497,1.2915851,3.6299765,7.808219,7.1037183,3.4637964,5.932865,4.8194885,2.6965382,3.4813416,2.5370805,4.831635,7.5079293,8.9547205,3.4381814,6.661718,4.5873537,5.9700384,2.5195832,8.441191,7.45057,8.503273,11.661148,10.435927,10.0229435,12.889534,7.1556435,15.799312,21.060125,27.909441,13.139654,11.201161,19.491869,18.573454,18.726614,15.390378,19.488495,28.688845,16.35441,21.330723,17.240704
ARG,historical,tx90pETCCDI,7.201496,7.965607,9.111828,5.8957543,6.8026814,6.867774,6.8049254,8.045759,9.057612,7.168464,10.83595,7.6984363,8.608763,8.150199,5.377766,8.861848,4.7503157,8.582532,9.688312,7.972409,5.5537744,6.978529,8.324614,5.5324006,5.514427,6.6001167,7.2477036,8.573302,6.926066,7.7674146,7.5654964,7.414748,5.137472,9.716798,5.9925203,4.764403,7.772758,5.541145,5.3157578,6.2144175,8.809385,6.3159432,8.445724,6.36792,5.4469056,5.269115,5.3782506,8.885164,8.782183,9.746429,10.802486,6.2770815,8.27407,11.290683,5.8752856,6.901778,7.7168946,7.6304283,6.6528115,5.476052,8.034587,6.7798505,9.422354,10.724278,5.7660546,10.989993,13.262992,8.994462,13.858933,8.420285,7.7936673,11.059458,6.674439,6.102691,5.5831685,8.377052,6.2833967,12.591567,10.202786,8.150199,10.468765,6.549597,4.515948,6.611289,9.838725,8.981347,9.004766,12.124744,9.053725,7.869912,6.767624,8.575246,8.646168,11.126979,9.166085,6.458273,6.187215,6.7050424,9.853022,5.988536,10.888468,7.915574,12.021374,7.0727677,5.719907,6.2071314,13.296904,9.102788,5.5528026,4.3301272,7.4705462,6.172156,5.778684,7.0649953,6.1761227,7.2403574,5.5683475,5.730593,4.9606633,10.787428,5.700962,6.5092783,3.9133046,9.160594,6.627805,8.378996,8.267449,6.880404,7.484698,5.2948604,5.6529284,10.858183,5.377927,8.454139,6.205691,10.220974,9.814336,9.496092,17.259888,14.805242,12.404764,7.856595,4.8185053,7.884099,13.132594,8.740891,10.720168,10.343388,8.323115,10.389602,8.166602,6.973906,10.635417,12.554431,10.151286,14.58832,14.432122,9.460916,17.975323,13.586737,11.715009,9.954338,9.899043,14.270864,12.114058
ARM,historical,tx90pETCCDI,7.2602744,10.913242,10.928962,11.461186,8.173516,11.643836,4.3715844,7.534247,13.972603,8.127854,6.785064,3.2420092,17.488585,1.5981735,10.519126,29.680367,25.6621,13.378995,13.843352,18.812786,19.08676,21.552511,19.489983,10.136987,27.579908,21.96347,8.151184,11.461186,4.703196,13.242009,7.6047363,6.392694,14.063927,11.780822,19.808744,9.908675,3.4703197,10.365296,4.3260474,5.0684934,6.8036532,5.2511415,14.526412,7.3515983,29.269407,15.068493,5.054645,5.753425,13.287671,3.8812783,11.324201,7.5799084,16.666666,3.8356164,10.063752,14.748858,7.899544,1.0502282,16.575592,5.525114,9.041096,14.109589,18.98907,12.328767,3.287671,5.981735,18.260473,9.086758,1.0958904,8.538813,6.4663024,15.068493,5.890411,11.689498,10.701275,9.132421,14.246575,17.808218,4.826958,8.995434,13.287671,18.03653,8.469945,5.43379,11.4155245,10.045662,6.2386155,1.5981735,2.739726,7.5342464,1.9581057,10.86758,6.849315,4.611872,11.384335,11.09589,6.8036532,4.977169,4.7814207,5.2511415,15.342465,7.7168946,5.64663,3.6529682,9.863013,7.3059363,3.4153004,11.552512,6.073059,8.173516,3.3242257,6.2100453,7.4885845,4.018265,11.612022,3.5159817,6.4383564,5.9360733,11.748634,5.525114,9.452055,0.22831051,3.4153006,7.9908676,2.6027398,5.753424,2.5956285,2.4657533,4.703196,13.378995,12.386157,5.854196,3.3679736,1.4422926,14.694428,21.561958,5.4211936,9.908676,14.95195,16.172256,11.873721,6.606833,2.616042,3.8308926,12.028027,12.733428,12.488223,9.7779875,14.481185,20.45977,15.737077,9.009604,14.947253,12.268933,15.325671,4.6701307,10.310187,7.2964883,5.626217,8.658479,15.47158,16.666666,12.295082,17.168951,23.333334
ATA,historical,tx90pETCCDI,7.476054,7.336047,6.8801856,7.741804,6.0862255,9.321792,9.378752,8.64154,7.734218,9.235502,9.168499,6.483761,11.1881075,9.939467,9.299313,9.232913,8.4626465,8.173069,9.169541,5.4717293,7.876383,8.189945,7.142401,10.586558,8.41974,8.543825,11.219401,9.2613735,6.871143,7.3012724,8.605674,8.274895,8.2828,10.843973,11.579155,8.107699,7.3916955,7.45836,6.2096744,5.363703,9.404901,9.744244,8.260192,8.143769,9.841889,7.4099803,5.707057,8.501895,7.9659657,6.3501134,7.3119926,7.680841,8.942041,9.724642,7.237198,8.853209,8.67879,9.217831,8.3433,9.857926,10.389176,8.910561,9.562049,7.056419,9.416054,9.647983,6.638696,7.139392,13.48544,11.844465,8.039633,8.441228,6.8305306,7.8988013,7.0649548,11.576057,9.5493145,8.914444,9.44725,11.377268,9.463525,5.749745,8.986992,6.7240486,9.001301,9.971358,10.471693,7.9088635,9.772568,9.703723,11.120413,6.3408465,9.959319,7.9472046,6.081851,6.649253,8.360934,6.825829,7.0715466,7.4167485,7.136757,7.730243,12.486738,10.74485,9.365925,7.242285,11.0143585,10.700513,8.284503,9.091293,10.321014,9.627631,8.55191,10.615519,10.172057,11.305629,9.439675,7.3528094,7.3857245,11.166712,9.1702,7.8830833,7.960759,10.121359,11.545849,14.527771,12.424944,9.500117,8.408247,11.749977,8.654579,10.350473,8.67081,12.231732,7.9560084,9.289551,13.706658,10.723864,13.805125,13.277977,11.424316,11.924712,9.671659,8.635167,8.924799,8.743882,7.494825,7.947791,6.581538,9.82485,11.418208,11.386109,11.221386,9.937785,12.6238985,12.6671505,10.310479,11.189098,14.218469,12.319098,10.640333,12.131612,13.864432,12.035896,13.002296
ATF,historical,tx90pETCCDI,5.479452,2.260274,1.2978142,0.2739726,2.6712327,7.9452057,4.644809,1.849315,2.739726,2.9452055,1.5710382,9.520548,3.9041095,1.5753424,3.1420765,0.82191783,5.821918,1.5068493,2.9371586,7.1232877,5.342466,2.0547943,2.8688524,1.7123288,4.178082,1.5068493,6.010929,1.3013699,3.0136986,4.8630137,2.5273223,6.0958905,9.589041,3.1506848,7.6502733,5.342466,1.4383562,4.452055,7.103825,9.520548,1.5753424,2.9452055,3.5519125,0.47945207,2.671233,8.356165,7.308743,3.4246576,1.3013699,4.3835616,2.6027398,5.410959,1.3013699,11.027397,7.7868853,8.150684,7.60274,6.4383564,3.2103825,5.2054796,2.8082192,1.0273973,2.6639345,1.5753424,0.34246576,1.5753424,3.4836066,6.5753427,3.8356166,10.136986,5.874317,7.260274,2.1917808,6.4383564,6.6939893,1.2328768,1.0273973,2.0547945,1.1612022,2.671233,8.972603,15.479452,4.9863386,1.1643835,2.9452055,7.1232877,2.6639345,8.082191,8.013699,13.424658,7.240437,4.8630137,8.013699,9.109589,20.01366,9.383561,6.5068493,9.246575,6.557377,8.561644,8.493151,7.671233,2.3907104,4.657534,7.60274,3.287671,12.978142,14.109589,10.753425,3.8356164,9.289618,11.917809,10.342465,14.589041,4.439891,4.2465754,4.520548,1.9178082,7.6502733,3.0821917,3.69863,4.0410957,7.923497,9.041096,15.753424,5.7534246,5.327869,9.041096,8.287671,3.3561645,5.3278685,4.624469,5.1204534,6.5847898,1.2224422,8.474256,4.6457253,9.400094,10.54268,14.773264,10.571564,15.290505,9.991521,9.156826,4.5725083,6.7595654,9.226023,12.298063,10.092112,11.551724,14.749388,11.138403,9.25366,8.07983,16.129639,18.925365,18.719887,12.949929,8.625401,10.127539,18.665565,15.205479,12.568306,5.479452,13.219178
AUS,historical,tx90pETCCDI,8.670553,5.665015,5.3462777,3.6102207,3.7025163,3.8540757,5.8562956,6.8563104,5.197707,8.183037,4.4047203,5.533275,4.169047,8.771787,7.4776187,9.706014,8.034004,10.122996,3.4497926,5.839891,5.204119,15.242981,7.0912294,7.34402,2.1480618,5.7660546,5.2114096,7.9393764,6.045079,9.447586,7.5562916,13.1749735,3.6343143,4.5304575,4.7112737,5.6100264,4.7412806,5.8657336,5.2858195,9.937433,8.042553,7.2808704,11.4944,6.7317595,6.3602448,6.884679,4.2020307,4.5050035,4.1536965,8.238997,9.287088,5.9053726,6.178179,5.4835324,4.0561175,3.654717,5.7697463,7.2896147,6.0413513,6.307199,5.822015,3.1831343,3.890439,5.095696,8.152531,4.436802,4.3033757,8.477411,6.5271544,8.977558,5.044956,5.943068,7.7505097,6.270669,10.315855,10.56485,3.9572525,8.6571455,6.7540593,10.015545,5.9996114,7.3679204,5.038949,5.045565,7.583212,4.65598,7.5291634,9.783736,2.9909647,9.992617,4.503352,6.6860976,4.8407655,5.427767,5.164516,4.8903136,7.1767216,3.0655787,6.0169363,3.8033614,2.138735,3.0115612,5.5055614,5.4087243,16.53823,3.1835227,5.636554,15.587682,9.063247,3.750316,4.1231637,10.623919,2.3310988,1.7297192,3.8330815,6.4552608,7.4023128,5.0034003,1.9520986,4.8112307,6.020985,5.336831,3.7962642,7.1246476,6.8446517,7.0478964,7.00655,14.116196,9.10308,5.312931,8.5056,3.7194679,4.750775,7.8849235,2.7550592,4.2783074,10.430296,13.7987385,4.9627147,12.383777,13.394707,6.720021,3.5334103,10.797924,6.60552,10.265799,9.33887,9.176588,10.110808,7.9289036,9.581157,9.479319,18.232323,20.381954,11.330225,11.3209915,20.992365,11.430199,18.241817,13.373528,21.83833,10.737589,15.936325,15.220247,9.605946
