iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp3,tx90pETCCDI,27.38457,37.359478,26.23045,26.555187,23.671383,27.163086,25.774326,27.201672,31.742004,21.336044,23.475048,21.836437,30.544586,30.151428,29.555449,31.380686,24.798626,32.21066,32.326527,26.865738,32.13243,32.77274,41.772984,37.493935,36.581688,40.629234,32.63559,35.381287,36.87283,37.242596,33.164867,41.020493,41.26983,39.1976,34.361538,36.68844,39.155685,36.19958,43.02788,46.969505,39.515507,41.26204,46.41932,44.082714,52.918518,53.38664,49.639805,54.13758,55.42757,53.35016,46.91501,46.02441,45.398827,55.651344,56.875813,53.029003,57.94931,51.8679,50.01754,56.01657,59.228844,57.648785,52.505695,55.23198,58.11355,58.79826,53.247734,48.22291,53.14247,64.16894,64.64186,64.665,63.17196,65.27374,66.01396,62.043224,68.69173,63.781063,67.003845,73.16113,73.71729,73.50099,73.58068,67.12254,73.66429,69.58157
AFG,ssp3,tx90pETCCDI,21.780823,15.964691,26.657534,20.85353,17.993677,31.216898,27.074816,20.358273,23.981031,27.91719,30.179136,27.905163,20.250792,15.632619,24.19389,30.859852,26.267649,26.023539,25.243414,35.42887,28.236036,36.45229,27.903055,27.471022,21.94099,28.430012,30.954689,34.92729,48.933617,43.070618,30.404636,28.358273,34.04847,33.82093,35.59958,54.85985,45.50474,35.124,39.947315,46.419388,50.689144,40.880623,40.040043,40.318233,50.090622,45.754517,32.79452,39.435192,57.232876,45.949978,31.310852,45.127502,49.981033,46.50063,55.55111,56.65964,47.964172,60.41404,53.98314,43.620655,42.33298,61.38924,66.20442,49.22445,63.08535,67.73644,70.39621,53.154903,56.990517,76.38714,72.32666,58.189674,52.72708,61.445984,65.108536,72.564804,67.68177,70.22698,64.19178,73.31718,86.255005,71.071884,64.09062,63.780823,72.86407,82.765015
AGO,ssp3,tx90pETCCDI,17.390251,21.831236,11.597323,10.213444,22.825104,10.364722,16.922586,27.989805,21.8388,17.20549,16.015291,24.535202,36.76585,17.284279,15.750238,27.157694,10.839121,16.967848,42.48614,35.490284,17.63619,22.190874,25.195286,24.583626,35.460976,27.580378,18.263142,32.7187,42.744823,22.5772,35.83689,39.630455,37.906338,32.35481,47.5094,35.78337,31.830519,43.112213,63.180634,31.70309,31.165339,38.04931,62.791973,44.169483,30.70532,37.9146,54.04014,59.116917,37.809494,51.213623,49.776363,69.640015,52.37592,60.238914,61.123924,56.46894,51.383244,48.77748,53.001595,54.45301,62.69895,47.73923,68.78369,76.63205,70.45046,50.133434,57.429756,65.55081,79.322075,52.79197,63.661037,68.89838,65.58012,69.24514,85.00032,66.65817,59.6776,71.55674,77.271736,82.11277,60.94425,63.70568,79.22651,81.84262,73.108635,70.16757
ALB,ssp3,tx90pETCCDI,21.135029,14.129586,23.835617,21.330723,30.215265,28.922716,25.636007,22.465754,20.900196,27.205309,15.146771,25.87084,14.598825,29.820452,44.34442,37.690804,43.091976,35.79235,26.105677,26.105677,34.8728,37.97814,37.690804,27.632093,19.2955,51.40515,31.428572,29.354208,33.894325,32.86495,35.577297,37.84736,26.223093,35.714287,29.275928,33.620354,41.017612,45.238094,24.696672,56.046967,54.6771,38.52459,57.651665,40.82192,50.4501,48.868073,43.874756,47.39726,50.880627,52.459015,36.9863,41.996086,44.970646,48.946136,52.015656,47.866924,56.634052,65.18345,48.414875,45.51859,54.324856,61.319283,46.41879,65.40118,62.465755,72.053085,61.956947,54.520546,55.53816,50.156128,69.04109,62.309196,54.48141,65.14442,64.73582,73.22896,69.58904,62.138954,61.6047,79.843445,68.10176,85.12881,75.459885,67.08415,72.954994,71.19374
ARE,ssp3,tx90pETCCDI,29.373777,22.521467,23.816046,21.48728,25.968689,22.36534,30.743639,29.041096,29.921722,29.97658,31.80039,37.162426,35.753426,28.51288,30.76321,36.340508,39.197655,40.20297,35.831703,46.888454,32.485325,31.108507,37.49511,45.088066,46.868885,39.871193,52.48532,51.07632,58.45401,44.34036,58.003914,35.14677,46.829746,46.116314,56.477497,46.497066,54.324856,53.259174,60.156555,53.639923,55.812134,47.20921,64.09002,64.05088,55.14677,57.08431,63.639923,57.886497,66.04697,64.910225,68.610565,68.630135,63.15069,66.998436,63.679058,68.19961,62.48532,72.58002,79.921715,62.857143,53.69863,73.45824,84.69667,68.98238,81.62427,78.37627,88.12133,69.72603,77.37769,83.68462,82.348335,75.20548,82.21135,78.727554,83.2094,80.33268,79.13894,81.42077,82.681015,85.94912,86.32094,81.08899,81.80039,78.45402,86.360085,89.37378
ARG,ssp3,tx90pETCCDI,11.629263,12.911774,12.840766,10.36141,15.153989,14.868425,20.98465,15.005343,14.18974,21.63072,12.519673,13.475178,13.02147,15.474945,14.543379,12.925776,13.2901,16.635178,17.392403,12.853395,13.065676,12.998005,15.830175,15.868552,17.670261,16.940376,16.94161,13.97989,15.989994,20.355675,16.45633,17.21364,18.074419,16.909372,23.170116,21.645779,27.065966,19.276344,20.751482,21.097347,23.250753,22.039104,23.532011,23.007383,24.115904,23.898869,25.81706,20.328865,23.946371,20.963163,24.585155,20.52317,27.030993,31.270103,26.911009,23.670942,32.061596,25.594893,35.240456,21.353348,27.971437,23.747238,28.155542,21.10852,24.559896,29.989244,28.956572,22.333624,27.161179,32.5747,31.581657,28.60342,36.527737,28.777178,25.404644,36.10269,35.00826,29.914156,29.093075,37.048965,34.35393,28.476824,27.300108,32.100945,33.53104,37.438065
ARM,ssp3,tx90pETCCDI,17.168951,15.346084,12.557078,16.07306,12.146118,20.673952,22.831049,27.716896,13.881279,33.469944,34.840183,40.63927,21.598173,28.551912,50.45662,32.10046,40.456623,17.531876,32.511417,29.954338,31.187216,28.4153,26.210045,15.296803,15.799088,13.934426,26.666666,24.292236,24.200912,36.885246,25.936073,24.429224,25.61644,24.13479,24.520548,32.14612,40.86758,45.17304,20.593607,36.666668,27.214613,34.881603,36.621006,43.92694,40.684933,21.857924,40.913242,29.58904,30.958902,18.35155,35.47945,48.858448,30.913244,40.346085,41.826485,45.388126,52.237442,42.57741,52.78539,54.292236,49.041096,62.11293,50.13699,49.72603,55.662098,64.70856,52.465755,48.584473,53.561646,68.80692,63.05936,62.602737,33.835617,56.466305,54.84018,74.93151,60.27397,68.44262,61.598175,72.557076,75.433784,64.29873,55.61644,53.744293,54.703197,76.34703
ATA,ssp3,tx90pETCCDI,8.730009,11.870274,9.000711,12.383054,13.094765,15.643446,13.654747,14.581058,17.685793,16.078426,11.449634,12.847229,11.362935,16.925032,16.018017,10.356196,13.269478,13.245159,10.538474,13.426997,17.018236,15.708411,18.623209,16.963268,18.517885,16.022318,12.955279,18.184063,19.054428,13.978302,18.043192,21.825544,18.684286,18.693287,17.455317,19.400154,15.844075,16.993418,15.74711,16.06876,17.463585,18.726221,15.920302,20.12297,19.37033,19.648846,21.955923,25.129026,22.374104,20.042395,25.895884,29.25322,27.039362,24.708836,28.27744,29.615683,28.12469,25.964123,26.654045,25.09132,26.82642,24.482092,22.869057,22.465094,26.065828,25.874422,28.63193,25.894226,27.723951,26.131767,24.010967,25.235508,28.78936,31.84299,25.355911,36.992935,30.20833,34.205376,35.471546,34.422268,29.281408,33.277157,34.60677,40.840702,36.732384,34.98511
ATF,ssp3,tx90pETCCDI,15.068493,12.773224,11.09589,11.3698635,4.8630137,9.767759,18.150684,19.452055,15.068493,22.336065,30.684933,16.232876,17.123287,22.745901,27.876713,26.849316,27.465754,11.407104,24.726028,19.726028,10.616438,21.24317,12.945206,32.80822,36.71233,34.836067,45.68493,27.39726,31.712328,29.439892,42.19178,32.876713,39.65753,36.13388,21.301369,30.068493,42.260273,24.795082,28.219177,34.315067,58.561646,42.076504,50.89041,37.397263,34.931507,36.407104,57.602737,40.958904,35.82192,48.565575,45.27397,51.50685,52.876713,53.142075,55.547947,52.328766,52.80822,59.42623,64.38356,71.369865,60.82192,56.762295,70.205475,63.561646,51.91781,69.46722,68.83562,68.9726,60.20548,69.193985,61.027397,68.287674,68.9726,76.63934,71.23288,81.0274,86.23288,82.44536,82.26027,83.15069,83.9726,87.226776,90.34247,79.04109,86.9863,85.95891
AUS,ssp3,tx90pETCCDI,11.386379,18.190134,12.60954,17.557756,15.26688,8.243033,10.7537155,19.768581,14.37715,13.879782,9.804333,14.714272,19.323423,18.876488,10.634217,23.582045,21.536966,17.561136,23.641893,14.68532,14.314584,16.928457,18.99252,22.013214,24.812786,17.077085,18.880404,16.372486,33.52045,18.11049,20.250656,35.104633,33.76489,28.425959,28.195086,28.433693,20.128048,28.646864,30.88021,22.962402,11.394929,24.611671,32.931313,35.791897,21.387934,25.430378,38.194305,41.00243,26.644905,34.40143,44.92218,45.8941,44.476635,30.369532,38.744198,49.324783,39.377247,27.148586,25.367918,39.24298,46.109978,16.97729,36.00855,52.05149,25.923637,21.349844,43.726803,57.13883,55.139416,34.825794,33.395706,50.062954,51.72272,41.134945,40.141262,23.899931,40.30953,46.844746,58.324883,49.52395,31.969496,41.10375,64.054985,59.332752,31.649082,51.221024
