iso_a3,SSP,variable,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
-99,historical,tn90pETCCDI,8.84924,8.791759,6.5060077,9.469598,8.676048,8.994812,9.692381,8.150498,4.822515,10.646859,10.168104,5.923631,8.589452,12.239184,11.9757,7.75111,7.612258,8.063155,13.5063505,7.7884364,9.378523,10.460976,9.0580845,6.3110743,9.31059,5.4242096,7.3830047,9.990668,7.4092045,6.0998096,8.496746,13.729984,9.201597,12.240678,6.7442417,6.1184726,8.8231125,6.2244782,7.465642,10.60804,8.661864,7.860102,5.7257934,6.0475535,4.641111,5.5914297,8.86303,10.778993,5.5548506,9.474077,8.12437,5.6078534,4.924788,5.5742598,3.6070042,4.7732444,7.5958343,8.8514805,4.9671683,6.1886454,8.2154455,6.5522003,5.9915724,6.437237,7.018775,3.24288,6.156102,4.1693106,5.720578,9.435258,5.81662,6.4551525,7.3524694,5.477959,7.6286836,4.3126426,6.4185734,6.3484006,5.9796605,3.7109478,5.084543,2.791236,6.1806703,7.430107,3.3862119,5.486171,3.900329,6.3327236,6.1804338,4.4522414,4.738613,7.3457503,3.8303907,3.118958,4.052947,4.330559,2.756896,3.2996154,3.7514331,3.4519057,2.1865551,3.7116942,3.2876222,5.8243437,5.354037,3.5280507,3.8750167,6.0266504,4.0558395,5.162928,6.761364,4.2043967,2.9196372,4.5216675,3.35537,1.7767161,5.3764324,2.3448172,3.9628654,2.157441,3.426524,4.5888543,2.9771743,2.7695868,5.3995743,4.4880743,4.0134897,4.771005,5.0599084,4.5485425,3.8251367,5.602911,6.813508,3.244965,3.035449,4.853328,5.132424,7.3717756,4.9680157,4.8621063,8.371081,7.110545,4.277652,7.435024,7.7175946,6.0363297,5.8617253,12.246831,9.199435,10.7153845,10.30555,7.12908,12.719583,23.277992,16.854328,21.210957,20.692076,18.02494,20.569435,24.079676,20.388525,19.91415,28.518038,25.806427,24.974806
AFG,historical,tn90pETCCDI,5.544784,5.917808,7.364439,4.7249737,7.934668,8.105374,4.247583,4.7797685,6.7123284,6.1454163,7.948718,5.034774,5.41412,5.867229,5.2711225,5.4120126,7.1464696,6.109589,8.570828,11.2118025,7.296101,8.7881975,9.358974,9.045311,7.5173864,7.0432034,6.237915,6.988409,7.793467,8.151739,5.9751997,7.5869336,7.637513,5.064278,5.9520807,5.789252,5.73235,8.554268,7.4737287,7.4984193,10.151739,5.74921,7.6754937,5.2012644,5.8145413,7.5911484,7.265658,6.678609,6.7797685,7.304531,7.028451,4.1812434,9.12961,4.663857,2.9970577,8.655426,6.280295,6.3498416,10.229088,7.70706,5.1548996,9.380401,5.5443463,5.778714,3.9578505,7.0958905,5.119798,4.2255006,6.5964174,8.558483,3.6506934,4.5142255,5.544784,5.454162,6.0529633,3.1907272,4.767123,9.721812,7.0638924,8.933615,4.6743937,6.360379,8.73266,10.1327715,8.746049,7.2139096,3.5729296,10.356165,5.2982087,7.9473124,4.968474,5.972603,8.558483,8.113804,3.1441782,4.2339306,4.3182297,3.369863,5.5485497,5.097998,6.7123284,4.332982,5.1029844,5.976818,4.379347,7.1106424,8.413198,11.75764,9.184405,5.1317177,9.031105,7.2349844,9.0706005,4.82824,4.6889453,7.536354,4.0885143,6.044257,5.1870537,3.4267652,4.6765013,3.6880927,4.6679277,7.694415,4.512118,2.5795574,3.0264816,5.4815593,4.1074815,5.8756585,9.411518,6.490171,5.530468,5.686421,5.458393,8.9426985,7.869772,7.95269,8.122364,9.074379,6.1178737,5.9065437,9.722427,4.9001856,5.4185534,10.024854,20.291199,11.979217,8.904618,16.289524,11.968228,12.891755,14.765088,17.253807,11.857126,10.821773,11.791068,19.117111,12.226957,14.828676,14.971112,22.335089,17.068096,17.110643,23.378292
AGO,historical,tn90pETCCDI,1.9254539,2.1841352,4.00305,2.069449,2.1866837,2.2402039,2.8987164,2.4300733,1.1048105,2.0210257,1.0001271,1.3048742,0.573431,0.98757565,1.6177405,1.4029945,4.2166295,1.2755655,0.96200275,1.9292768,6.844218,3.9197197,2.76274,2.8658807,1.7139217,1.4896464,4.469437,3.050653,2.9869385,3.7999363,2.5149322,5.1532335,1.1570563,2.5345652,0.8285678,2.7728574,1.5724753,2.008283,1.7092388,1.290857,1.8795794,1.583944,5.99695,1.9229053,3.4762664,4.614208,3.396874,2.0006373,4.039503,3.3258998,2.342147,1.8349793,4.0012746,1.2985027,1.3191003,2.5154507,2.7078688,2.9079325,2.949549,2.424976,1.6387384,2.6518,3.3180838,5.5087605,2.306467,1.1150048,3.6561189,3.838165,3.8585536,3.0710418,4.8278055,2.784326,1.9636827,2.2478495,4.807472,4.712329,2.743549,1.7929277,2.9711525,5.1799936,2.1382606,2.7817779,1.7931123,3.1309335,2.4963365,3.615164,4.9917397,2.5536795,3.1717107,5.2360625,1.5237007,4.043326,3.0799618,1.8732079,4.0983605,3.825422,2.744823,2.647977,2.7945101,2.1510036,4.6983113,2.376553,0.4676579,6.7524686,8.098121,1.3953488,1.8286949,5.4297547,6.70532,6.0452375,5.6779766,3.9311883,1.5584581,1.3775089,2.2429788,5.776362,2.8990123,1.6221726,2.708095,2.3268557,4.5402994,5.0538387,3.3587496,7.385792,9.210576,4.113412,2.8580506,10.321758,4.433259,3.5871296,5.4187317,6.6705627,4.238688,3.1342728,4.952432,7.507904,3.359559,11.657127,2.493153,3.4163747,9.316079,13.326493,3.2488904,5.873208,2.7341456,7.061902,4.1916995,8.08573,12.237327,6.6946425,5.1051483,12.523689,15.399017,14.993222,20.153988,18.85819,22.219772,21.065659,28.526299,19.642847,19.722952,19.752787,23.393063,26.366358,27.769354
ALB,historical,tn90pETCCDI,21.682974,15.616439,8.235753,3.6790605,9.0802355,3.2485325,12.334114,4.6966734,13.502935,10.841487,16.54957,9.941292,9.158513,11.272017,20.101484,16.908024,25.831701,14.833659,10.811866,5.675147,22.544031,9.236791,10.226386,11.741683,13.816047,12.876712,4.7228727,5.9099803,15.459883,5.7534246,6.206089,5.0097847,8.180039,11.898239,12.177986,10.450098,5.7534246,13.502935,12.45121,13.816047,4.3444223,3.0136986,12.997658,7.358121,12.641878,8.414873,9.4067135,11.898239,8.023483,15.459883,6.3013697,5.2446184,5.205479,3.7573383,5.230289,8.219178,4.8140903,11.585127,7.298985,10.215264,6.144814,8.101762,9.562841,9.902153,18.043055,7.5146775,6.908665,8.88454,12.798434,19.334639,6.362217,6.223092,8.219178,11.506849,11.5144415,8.414873,15.577299,12.054794,4.8009367,7.2798433,7.0450096,4.227006,4.1373925,2.113503,2.9745598,6.4579253,10.88993,4.187867,6.4579253,5.9491196,5.191257,9.275929,5.596869,2.5048923,14.363778,6.027397,3.9921722,2.9745598,6.986729,4.2661448,8.688846,4.4227004,3.0444965,7.9843445,7.710372,8.806262,6.947697,14.677103,5.5185905,16.947163,13.114754,10.136987,11.037183,5.3620353,5.581577,1.5655577,14.4031315,4.4227004,2.5370805,4.2661448,9.393347,7.7886496,4.800937,14.246575,3.1702542,7.7886496,2.9274004,6.7318983,6.3013697,7.1232877,4.8790007,4.2998853,4.231055,5.2338214,8.822579,5.3809295,5.745327,6.1745057,5.974589,9.593089,4.8883195,16.485594,4.975908,7.6860785,17.198193,8.220528,7.4658804,6.857413,15.5111685,19.202375,14.764865,18.12268,11.86045,14.505702,10.367708,15.045549,14.44362,12.42594,15.707018,15.748701,11.956273,21.448141,18.89149,12.250489,19.452055
ARE,historical,tn90pETCCDI,3.620352,3.3268104,5.620609,1.6829746,4.285714,2.9549901,7.494145,4.970646,3.0528376,4.4227004,3.2786884,4.44227,2.4070451,5.4598823,4.508197,2.2700589,6.7514677,4.9315066,6.069477,3.1898236,6.5166345,5.8708415,2.2833724,4.44227,5.675147,3.9334638,4.8204527,3.6399217,6.2230916,3.3072407,4.176425,10.097847,5.792564,2.1917808,3.7665887,2.2700589,2.2309196,1.6634052,2.6541765,6.0078278,4.6183953,3.4637964,8.372365,1.8395302,2.8767123,3.8356166,3.8251367,5.029354,6.712329,4.2074366,3.3659492,4.148728,0.82191783,1.3698629,3.1030445,4.0117416,4.031311,6.399217,4.156909,2.0352252,3.111546,3.737769,3.6299765,2.8962817,1.3894325,1.9960861,2.5565965,1.8199608,4.892368,4.285714,4.313037,1.9765166,3.444227,2.8375735,3.5323966,3.1898236,3.69863,8.88454,6.635441,7.2015653,1.1937379,3.659491,4.371585,5.3620353,1.8395303,2.6027396,3.0249805,3.0919764,4.970646,5.146771,2.4395003,2.3091977,2.2504892,4.0900197,3.1420765,2.4657533,3.111546,1.1741683,2.3614364,2.3874755,1.7612524,1.8786694,2.8883686,4.9902153,5.1663404,1.4285715,1.7564403,10.195695,1.8003913,2.7984345,4.859485,5.6360083,4.4618397,1.8003913,4.8204527,3.7769082,2.6223092,2.9941292,1.7564403,2.5048923,5.068493,2.3091977,3.1420765,2.6418786,6.183953,3.816047,4.234973,5.8708415,5.675147,2.857143,2.5175645,3.85856,5.368783,3.9685538,2.0471613,5.76827,5.884338,7.4525948,3.3796334,6.580066,5.835751,10.605304,3.0054646,6.7406707,4.9045143,4.5266213,4.1737328,13.0899515,12.396248,12.864565,6.9483705,13.075106,16.525408,19.39537,15.311315,12.062892,14.355895,24.608274,21.928585,23.195223,25.837101,25.322895,17.48634,16.927593,12.23092
ARG,historical,tn90pETCCDI,4.4816866,6.0060234,8.589117,3.8127851,4.8197803,4.117361,5.31818,6.2765956,6.158554,4.691052,6.281731,4.954338,5.6178956,5.6101236,3.2389646,4.9800835,3.1385407,4.7493443,5.436868,4.6366463,4.106189,4.844555,4.8991394,4.030409,3.6267366,5.7806277,5.3482156,5.6786165,6.0186534,4.9868846,6.3175793,7.3438263,3.8030698,7.307393,4.62204,3.250753,5.172933,3.8424172,4.153587,4.714369,5.6723013,4.599728,6.0274,4.236374,4.8576703,4.4569125,4.4209976,5.654328,5.660643,6.970757,8.337219,3.8603904,4.8382397,7.216555,5.107933,5.3599534,5.34198,7.825221,6.167887,5.1126976,5.8044305,5.05052,5.9024143,7.371029,4.893617,6.493734,7.941906,7.0110755,11.186243,7.865054,7.567919,8.182745,5.190906,5.3968716,6.9807773,6.7764497,6.0021377,8.256582,7.464248,7.266103,6.900806,5.3448944,3.284986,4.843097,7.0751967,7.635286,8.149731,8.568444,7.5157876,6.302827,5.2634387,6.8857474,7.236957,7.850481,6.486649,6.6734676,5.845235,6.2790246,9.397163,4.970854,8.965802,7.8028755,9.8879,9.078014,7.6270285,7.1942096,9.226641,10.013116,7.532304,5.8734093,7.956924,6.123093,5.744195,6.557369,5.934872,7.8461094,7.049451,4.7284565,5.4804673,8.395512,6.4981055,7.1548624,3.8275588,8.419314,8.77781,8.36928,8.696663,8.474691,8.573788,5.9263577,6.8906717,9.635524,6.19626,7.6426735,7.108252,9.96062,9.220779,10.427776,11.709863,11.089207,12.990449,10.399033,6.7070355,8.968583,11.359461,6.4534655,8.391566,10.238896,10.232934,9.125268,8.735502,9.225671,10.867513,13.5247755,11.52534,11.974995,16.161135,10.296166,17.615885,15.42255,12.375183,11.311086,12.403111,14.8319235,13.098708
ARM,historical,tn90pETCCDI,4.7031965,8.767123,5.8287797,6.2100453,6.7123284,7.2602744,4.781421,4.155251,9.543379,6.849315,3.6429873,4.0639267,10.136987,1.1415526,9.790528,19.863014,20.639269,9.132421,11.885246,14.657535,13.196347,13.0593605,16.165756,6.027397,24.429224,12.009132,4.826958,10.730594,4.155251,9.452055,5.737705,5.844749,11.050228,8.310502,10.974499,7.0319633,2.4200914,6.575342,1.867031,4.3378997,4.7488585,3.7442923,12.340619,6.0730596,21.780823,11.780823,5.9198546,4.018265,8.721461,4.018265,8.082191,4.4292235,6.6210046,2.9680367,5.7832427,7.625571,4.7488585,2.1004565,10.564663,4.977169,3.3333333,8.858447,11.156648,8.219178,2.9223745,7.0776253,10.063752,7.4885845,0.82191783,5.6164384,6.5118394,10.913242,4.474886,8.173516,10.655738,7.9908676,10.0,15.844749,1.6393442,6.027397,5.2511415,14.063927,5.464481,4.611872,7.0776253,6.027397,6.6029143,0.5936073,2.739726,5.7077622,0.31876138,7.625571,4.7945204,4.520548,9.198543,3.7899542,3.3789952,2.1461186,3.0510018,1.9634703,9.13242,4.109589,4.143898,2.9680364,5.753425,5.525114,2.5045538,9.223744,4.200913,3.7899542,2.0491803,4.703196,4.8858447,1.1872146,4.2349725,3.5616438,4.3378997,4.840183,8.333333,3.6529682,7.8538814,0.45662102,2.2768672,4.2009134,4.2922378,3.2876713,3.1876137,3.6073058,2.648402,11.689498,8.606557,4.3190045,3.84034,2.5539286,11.792602,22.15714,4.1269093,5.9392223,6.7787833,14.037159,8.518344,6.7123284,2.1795113,2.7995589,9.782711,5.6400566,10.206645,10.51488,19.30562,15.077941,12.246404,10.343253,17.609825,13.723824,16.109228,7.065029,13.219966,8.068021,17.571133,13.878129,22.709808,23.333334,16.985428,18.356165,22.237442
ATA,historical,tn90pETCCDI,7.8222337,7.0119224,7.0392904,8.078195,6.7208467,8.901566,9.69968,8.776232,8.006283,9.02347,9.35977,7.049559,10.682047,9.843571,9.255912,9.238024,8.766646,8.262403,9.049963,5.621753,8.059092,8.511117,7.615775,10.112455,8.635793,7.9137926,11.307742,8.555773,7.132146,7.6082025,8.738503,7.711368,8.249728,10.096192,11.367067,8.200939,7.437395,7.7781916,6.3965726,5.474137,9.293581,9.040824,8.188046,8.409382,9.524511,7.4118423,6.3599005,8.83824,8.231443,6.186302,7.6187415,8.278597,8.889482,9.574459,7.1240983,8.339084,9.02079,9.100333,8.896135,9.4178705,10.450595,8.508983,9.423942,7.1924057,9.241839,9.908714,6.7954907,7.2073965,12.339965,11.027795,8.016595,8.146109,6.9636106,8.037173,7.186934,11.120354,9.614026,8.856025,9.681514,11.164758,9.866898,6.4991155,9.135292,6.7596188,8.888845,9.769933,10.432937,8.077536,9.289129,9.572415,10.932156,6.5117893,10.189909,8.108472,6.9356365,6.666743,8.196736,6.636397,7.1491737,8.012143,7.1940866,8.321435,12.092168,10.161767,9.953573,7.8306146,10.552242,10.46027,8.680265,8.943836,10.197744,9.693342,8.640994,10.116203,9.755675,11.225767,9.401744,7.4323072,8.04346,10.944753,9.347686,8.375425,8.176471,10.277516,11.561294,14.223635,11.922598,9.711536,8.854639,11.751113,8.448471,10.239968,8.851668,11.511889,8.080241,9.271902,12.953588,10.839733,13.59297,13.111294,10.808409,11.510793,9.917932,8.946942,9.429727,9.19233,7.4092584,8.160887,6.878899,10.025851,11.441706,11.701263,10.970243,10.108196,12.462182,11.84793,10.022086,11.518792,14.33572,11.680124,11.223051,12.2464075,12.946973,12.555428,13.135376
ATF,historical,tn90pETCCDI,5.547945,5.068493,3.2786884,1.0273973,5.7534246,9.931507,8.128415,3.1506848,4.0410957,3.5616438,4.508197,8.972603,7.328767,5.2739725,5.532787,2.260274,5.7534246,3.8356164,6.352459,5.342466,5.9589043,2.1917808,1.9808743,1.6438357,4.7260275,1.369863,7.240437,2.5342464,3.1506848,6.849315,4.8497267,7.3287673,8.698629,3.9726028,6.079235,6.9863014,3.0136986,5.821918,9.016394,10.958904,4.1780825,2.5342464,3.6885245,0.9589041,3.69863,11.027397,8.40164,3.287671,2.739726,6.9863014,4.452055,6.780822,2.3972602,10.342465,7.6502733,7.39726,10.616439,7.4657536,6.489071,6.027397,7.1232877,2.260274,5.874317,2.260274,1.2328768,2.260274,5.0546446,9.863013,4.8630137,13.219178,8.469946,7.0547943,3.9726028,6.5068493,6.967213,2.6027398,3.150685,2.260274,1.9808743,2.1232877,11.643835,17.80822,7.581967,3.5616438,5.7534246,5.6849318,4.9863386,3.1506848,9.7260275,12.465754,9.0847,5.6164384,8.219178,9.589041,15.6420765,12.465754,9.246575,10.136986,10.382513,6.849315,9.79452,12.397261,4.371585,7.60274,9.589041,7.8767123,13.797814,11.780822,11.3698635,3.1506848,10.245901,12.465754,13.561644,15.342465,4.7814207,4.3835616,7.191781,4.657534,6.010929,6.1643834,5.6849318,8.69863,9.0847,11.575342,13.767123,6.917808,6.147541,11.232877,8.972603,4.8630137,6.830601,5.278696,6.358054,10.148795,3.3045979,11.261219,5.8856874,14.919698,8.031845,14.825224,12.163439,18.249882,9.873752,8.809636,5.5337744,5.479452,6.5173354,12.465754,10.384979,9.16155,12.240908,10.316485,8.431744,6.5706186,13.903807,19.25366,16.407652,8.734057,10.380158,11.336798,15.597544,12.671233,11.407104,7.739726,8.493151
AUS,historical,tn90pETCCDI,7.4225197,5.319343,5.1986203,5.231517,5.2344313,4.666084,5.708445,7.3492665,5.81094,6.5588264,5.823548,5.8764205,4.2432723,7.241232,5.429601,8.2819395,7.4069757,8.589138,4.173158,5.285534,6.6569514,13.353736,5.3904586,7.148159,3.0263283,4.5318174,6.192691,6.396775,6.241718,8.349752,5.855715,7.962693,5.021665,3.8972116,4.389606,5.4613814,5.1149325,6.1167784,4.4316554,7.362868,6.4266977,5.8091908,7.4764566,7.2606626,6.9717283,7.234626,4.455296,6.4616733,6.493345,7.2744584,6.5613523,6.7548823,6.363159,5.9827065,4.6829824,4.3868647,4.852813,5.361508,5.3507347,5.8342566,5.219664,4.823861,4.9691896,6.6754107,6.4471,5.7141747,5.4414215,8.857864,8.171573,7.227436,6.868581,5.997863,6.7902455,7.379384,7.887649,10.223259,4.699893,9.415525,7.0646825,7.610026,6.184786,6.9109106,4.9534936,5.0855923,7.63412,5.0407076,6.402356,7.9199452,6.082192,8.350919,6.3649573,6.2679496,5.948703,6.363354,6.3223267,6.2718353,7.265714,3.5731077,6.9960856,5.9045954,4.329933,3.7986982,5.4511104,5.8181286,15.288449,7.0618863,7.5836143,10.13446,10.31808,6.498397,3.573228,11.388322,4.6684155,3.8779755,3.668372,5.983095,8.557661,6.361605,3.878425,5.4815893,5.905567,6.655203,4.761268,7.242203,6.642961,6.9647336,5.5943108,14.150004,11.028466,6.808511,8.833081,4.325497,6.6519995,10.495724,5.1311727,5.599889,8.631785,11.530669,5.5966763,9.133163,10.225382,6.5704713,4.0365796,8.49705,9.073358,7.8537807,9.6921835,10.212029,10.192189,11.598757,11.552967,10.119694,16.513258,16.688643,11.22733,13.420724,18.59856,11.99334,17.266756,12.336425,21.83169,11.422326,13.707903,14.044107,12.399494
