iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp3,tn90pETCCDI,29.8018,39.228123,26.430517,28.711134,26.89709,27.663376,27.892202,30.68344,37.870182,22.165394,24.297712,27.17853,32.500465,30.80136,32.52137,33.887497,27.349483,31.659744,35.09089,29.65324,33.129036,37.39224,44.91807,40.620358,40.972713,44.011406,35.846367,38.08294,40.898064,40.72974,36.639168,46.437984,43.578815,41.597057,40.21425,40.20604,42.424694,42.65571,46.34168,51.22392,43.999104,48.76416,51.971184,47.112087,58.083687,59.14593,57.126644,60.117947,58.235977,58.60097,52.655743,50.932774,52.213806,59.410965,61.669964,56.002388,63.45489,54.359673,54.106976,60.464333,64.149155,62.647964,59.705128,60.798775,62.57176,63.56963,61.195923,58.17103,59.939533,68.38567,69.93318,72.793846,67.705574,74.07573,73.77627,68.20574,74.96024,69.397415,71.87414,78.366615,76.65336,78.66247,79.87832,75.072975,80.017166,75.30813
AFG,ssp3,tn90pETCCDI,23.131718,18.699034,24.952581,20.55216,21.378292,25.643127,28.164383,23.964172,19.759747,30.453972,30.75237,26.998947,27.753426,20.882725,22.044256,31.879875,29.064278,30.813368,31.561644,38.617493,23.943098,34.291718,32.297157,35.593254,28.592203,32.96553,32.324554,37.85037,49.68177,43.995377,43.350895,38.51001,42.38356,44.033207,47.711277,49.62908,45.070602,44.07524,51.182297,42.349842,46.97155,46.914673,48.535297,44.505795,53.542675,59.678436,42.37513,46.57745,57.95574,53.173603,49.144363,49.23077,56.708115,54.73098,65.07271,65.90095,53.73235,60.59689,55.919914,51.521603,52.680717,58.318623,69.650154,62.64278,69.16755,63.852455,72.64489,68.063225,66.43625,73.89029,79.49842,64.56059,63.75975,71.216896,76.9589,69.59537,70.0569,72.84573,75.51317,83.098,82.75659,75.672554,80.4236,78.965225,72.994736,85.35932
AGO,ssp3,tn90pETCCDI,24.677923,30.111832,25.201656,21.331635,36.230644,21.615198,25.543167,40.008923,42.103855,26.989452,29.346926,42.961452,53.311245,26.944975,27.455877,47.47499,31.940107,30.36091,52.98885,50.233833,33.95731,40.932777,42.140812,58.241478,59.775726,48.70886,53.164703,56.907295,66.077095,47.510483,66.73463,64.93023,62.952534,61.97738,68.83721,60.84613,67.87766,71.090355,82.61102,65.97133,67.743866,75.221756,80.68302,77.60688,65.24498,73.93951,72.61294,72.00892,67.53616,82.947014,73.998085,84.21026,79.41,86.49257,84.54157,83.97452,82.869705,81.44746,86.44282,85.33673,87.46734,81.08908,86.07837,89.71774,85.504944,80.169014,87.15133,86.41605,88.740364,80.45622,89.6655,92.88691,83.58076,86.608215,90.88754,82.43772,84.03186,87.47236,93.541885,91.02644,91.709465,89.426865,94.13444,89.78273,90.655624,87.59478
ALB,ssp3,tn90pETCCDI,27.279844,17.252146,25.753424,22.66145,28.845402,24.824356,28.688845,24.735811,29.393347,30.991411,17.495108,34.285713,19.2955,32.943012,42.896282,41.6047,46.888454,37.236534,31.350294,28.10176,35.45988,42.935207,38.199608,34.129158,26.027395,52.693207,40.234833,40.665363,37.37769,39.1491,43.365948,41.722115,31.976517,41.80328,33.111546,41.017612,46.30137,51.717407,34.129158,61.6047,59.960857,45.628414,64.18787,42.739723,57.455967,58.82123,53.894325,48.180042,53.4638,56.908665,45.831703,45.753426,51.898235,52.38095,63.091976,55.733856,60.900196,62.177986,52.133076,49.393345,60.0,55.542545,56.2818,67.39726,68.72798,73.45824,69.90215,64.814095,68.76713,50.078064,70.60665,68.88454,61.291584,73.77049,74.75538,73.50293,66.34051,69.281815,65.36204,79.765175,69.62818,82.59173,77.612526,74.12916,75.34247,80.391396
ARE,ssp3,tn90pETCCDI,20.136988,18.306011,25.362034,26.007828,28.023483,19.359875,26.849316,27.886496,29.452055,25.624512,24.81409,31.643835,45.929546,25.858704,27.76908,32.211353,34.81409,35.967995,37.82779,43.15069,36.575344,26.697891,33.365948,42.837574,48.08219,39.695553,47.63209,52.36791,62.837574,37.64637,53.111546,55.20548,59.17808,52.107727,71.6047,45.596867,45.283756,59.699455,65.59687,55.283756,49.452057,51.01483,77.00587,59.843445,52.074368,61.96331,73.13112,72.954994,57.39726,64.227165,75.36204,68.76713,73.0724,67.62295,82.32877,78.35616,74.774956,71.81889,75.92955,66.418785,81.07632,70.37471,82.91585,80.88062,82.583176,75.15613,85.440315,83.30724,90.97847,79.937546,89.47163,93.013695,85.90998,85.03123,92.40704,82.52447,81.448135,82.72834,91.31116,95.32289,89.62818,82.45512,92.07436,95.20548,85.71429,88.41487
ARG,ssp3,tn90pETCCDI,13.285728,15.044763,13.603419,13.530069,16.724472,15.355772,18.745749,15.699991,14.656564,19.887222,14.5273485,15.793258,16.16924,13.32161,15.780142,14.412222,15.305061,18.894121,21.614689,15.73108,13.118625,15.320408,16.772564,17.823763,20.516855,19.516626,18.156029,18.707375,18.352278,21.091541,19.049839,22.93549,22.858253,22.40534,25.19285,20.738852,28.544641,24.142057,24.127563,21.080832,23.572817,25.882164,30.82143,28.466433,27.662489,29.34155,29.87516,26.89012,30.680561,26.977968,35.053917,30.436218,34.655594,34.16221,33.863304,29.843584,36.707954,32.183273,36.144466,30.68396,31.134752,31.429968,33.982803,33.93277,32.314194,38.74695,35.159817,34.174194,34.827065,41.064995,41.344116,39.018265,44.56281,37.618202,35.22588,43.676285,45.14816,42.179688,41.395123,46.56757,41.877007,38.200985,42.677063,45.012146,47.303993,48.338676
ARM,ssp3,tn90pETCCDI,22.87671,15.573771,15.616439,21.96347,16.803652,28.278688,24.200912,36.48402,15.433789,36.42987,34.56621,44.200912,24.611872,26.684881,53.9726,44.52055,47.808216,25.910746,40.319637,36.803654,31.872147,33.06011,28.538813,21.50685,28.675798,33.743168,44.703197,34.566208,36.301373,46.493626,38.538815,35.25114,30.456621,37.249546,42.009132,36.9863,51.36986,59.790527,37.123287,41.05023,40.86758,47.26776,57.762558,57.077625,51.735157,44.717667,62.420094,45.296803,37.899544,27.91439,51.598175,66.84931,44.79452,53.4153,59.315067,60.59361,61.872147,60.519123,62.37443,63.19635,56.80365,69.626595,73.379,64.977165,69.863014,76.63934,71.3242,71.00457,72.83105,76.95811,73.24201,78.173515,62.968037,79.1439,78.53881,84.56621,67.945206,80.55555,77.716896,89.54337,83.470314,75.13661,77.99087,78.44749,76.52968,88.26484
ATA,ssp3,tn90pETCCDI,8.92487,11.367497,9.721416,12.662408,12.976947,15.334818,13.785896,14.480777,16.951323,16.110388,11.302313,12.688552,11.540965,16.49857,15.773594,10.584855,13.636485,13.446487,10.431061,13.868824,17.339998,16.360598,17.850397,17.17394,17.754229,16.096842,13.373916,17.909271,18.678858,14.723269,17.813534,21.701574,18.227606,18.91842,17.29648,19.105467,16.090155,16.81748,16.66931,16.166382,16.81797,18.592327,15.727849,19.9784,19.126614,20.023933,22.166431,25.215633,23.120953,20.03141,25.666204,28.29552,26.41739,23.653429,28.12169,28.453426,27.237877,25.856504,26.261803,23.982508,26.423912,23.992092,21.981224,22.789877,26.210514,26.509459,29.191095,26.158545,27.064415,25.58833,24.277851,25.070673,28.476568,31.925533,24.779688,37.05971,30.324215,33.752365,34.93857,33.778923,29.501162,32.83699,34.060326,40.421814,36.399857,34.12808
ATF,ssp3,tn90pETCCDI,10.753425,12.636612,7.9452057,11.575342,8.767123,10.724044,17.465754,15.2739725,12.054794,26.912569,30.41096,12.465754,14.79452,19.67213,29.041096,22.876713,26.917809,9.562841,21.50685,13.972603,13.287671,18.98907,18.698631,34.931507,39.246574,33.811478,38.835617,22.534246,32.19178,26.434427,34.315067,28.698631,37.260273,34.289616,19.863014,28.424658,37.671234,20.696722,23.28767,29.315067,54.520546,35.382515,45.753426,34.041096,29.931507,34.76776,51.43836,35.342464,30.479452,45.833332,41.9863,51.43836,52.876713,50.34153,50.547943,51.232876,50.20548,57.71858,59.931507,71.57535,60.684933,58.19672,65.89041,58.49315,48.90411,63.86612,63.42466,68.287674,57.46575,60.314205,60.20548,64.93151,62.054794,72.81421,72.19178,80.0,80.753426,78.4153,77.26027,81.78082,80.479454,83.12842,89.246574,69.10959,84.246574,82.46575
AUS,ssp3,tn90pETCCDI,11.669291,15.495485,14.01807,16.746527,19.250559,12.246832,14.495093,20.21432,19.276012,19.198736,14.824249,16.572428,23.699408,24.102623,15.312543,26.916157,22.84096,18.805565,28.437384,19.136696,21.178082,16.146378,22.14573,24.139317,29.140581,22.96361,22.46012,17.718256,37.91975,23.068636,23.887884,35.256584,36.468086,25.5635,29.511124,32.850285,27.53483,27.709763,38.954628,33.469738,22.287573,26.955395,38.527348,36.549694,28.792772,33.9073,43.61605,49.065582,37.912952,41.182228,44.287186,47.90984,50.537254,34.036934,43.452442,49.362476,51.0751,39.893425,38.76693,47.56378,53.58632,37.08057,44.952103,59.952198,50.399303,41.352364,46.482075,59.206642,69.842224,53.80072,43.993393,56.359276,58.570873,49.971516,60.759933,50.741867,52.27028,59.06038,64.71835,70.69795,51.751873,54.07472,72.68979,73.277565,57.0547,60.697758
