iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp1,wsdiETCCDI,47.643051771117165,40.20980926430518,74.69209809264305,44.54768392370572,48.26158038147139,50.24523160762943,68.71662125340599,60.2425068119891,53.32970027247956,49.03542234332425,46.463215258855584,49.171662125340596,29.332425068119893,56.15803814713897,51.00544959128065,55.80381471389646,45.54768392370572,40.45504087193461,48.043596730245234,72.39509536784742,74.38147138964578,68.35149863760218,42.433242506811986,59.70844686648501,75.36512261580381,65.66212534059946,80.65940054495913,57.97547683923706,76.99182561307902,85.38147138964578,84.06267029972751,82.20980926430518,72.66757493188011,69.3623978201635,56.13896457765667,59.961852861035425,72.3024523160763,58.71389645776567,80.02997275204359,66.01362397820164,57.46594005449591,65.4141689373297,66.06267029972751,47.752043596730246,49.237057220708444,53.141689373297005,46.44141689373297,63.463215258855584,64.06811989100818,65.96185286103542,66.15531335149863,63.01634877384196,97.05449591280654,86.20980926430518,76.95640326975477,76.88555858310627,100.23433242506812,67.71117166212534,55.11171662125341,86.82016348773843,84.21525885558583,99.1825613079019,86.65940054495913,91.70572207084469,80.38147138964578,73.40054495912807,73.87738419618529,67.67847411444141,54.321525885558586,34.93732970027248,39.45776566757493,51.03542234332425,50.23433242506812,59.16076294277929,49.032697547683924,64.33242506811989,49.32970027247956,54.96457765667575,64.93460490463215,50.95367847411444,66.14713896457765,69.82016348773843,69.86648501362397,53.11716621253406,61.57493188010899,46.93188010899183
AFG,ssp1,wsdiETCCDI,56.761538461538464,34.36923076923077,29.838461538461537,32.9,30.46923076923077,33.69230769230769,46.05384615384615,31.46923076923077,28.746153846153845,28.93076923076923,22.546153846153846,34.42307692307692,69.83076923076923,81.52307692307693,37.08461538461538,69.53846153846153,45.55384615384615,49.284615384615385,55.94615384615385,73.00769230769231,58.41538461538462,34.80769230769231,74.76923076923077,53.66153846153846,92.43076923076923,45.03846153846154,85.78461538461538,97.2,31.146153846153847,83.75384615384615,77.17692307692307,73.33076923076923,96.83846153846154,103.9,67.41538461538461,42.89230769230769,57.99230769230769,93.21538461538462,112.31538461538462,83.28461538461538,140.1846153846154,52.7,56.9,63.61538461538461,78.99230769230769,122.73076923076923,67.9076923076923,103.7,51.03846153846154,54.246153846153845,61.33846153846154,73.76153846153846,59.723076923076924,110.8076923076923,70.74615384615385,77.36153846153846,136.07692307692307,92.21538461538462,75.95384615384616,58.93846153846154,39.676923076923075,81.86923076923077,112.13076923076923,82.43076923076923,46.33846153846154,69.72307692307692,92.66923076923077,46.284615384615385,79.7,133.13076923076923,93.9076923076923,79.52307692307693,67.83846153846154,45.06153846153846,55.76923076923077,80.56923076923077,55.95384615384615,77.06153846153846,68.57692307692308,73.03076923076924,32.823076923076925,51.9,52.01538461538462,72.23076923076923,53.784615384615385,66.87692307692308
AGO,ssp1,wsdiETCCDI,9.07906976744186,23.58139534883721,11.432558139534883,30.6046511627907,30.134883720930233,19.18139534883721,20.990697674418605,16.627906976744185,34.10232558139535,42.1953488372093,15.223255813953488,28.316279069767443,12.074418604651163,74.76279069767442,30.49767441860465,29.57674418604651,26.76279069767442,53.15348837209302,90.43720930232558,24.558139534883722,50.437209302325584,88.10697674418604,93.24651162790698,16.111627906976743,62.246511627906976,122.90232558139535,37.65581395348837,38.64186046511628,70.66511627906976,97.25581395348837,69.0139534883721,90.86511627906977,72.08837209302325,56.7953488372093,54.93023255813954,75.67441860465117,65.48837209302326,30.46046511627907,42.14883720930233,76.80465116279069,35.92093023255814,61.73953488372093,80.4093023255814,31.376744186046512,98.29767441860466,132.34883720930233,29.316279069767443,36.17209302325581,70.61395348837209,89.74883720930232,46.632558139534886,83.2046511627907,96.0093023255814,18.809302325581395,57.48837209302326,92.94418604651163,63.85581395348837,27.665116279069768,76.91627906976744,129.70697674418605,118.86976744186046,56.21860465116279,47.265116279069765,70.30232558139535,109.57674418604651,36.4,52.906976744186046,122.67906976744186,117.08837209302325,35.0,39.77209302325581,43.58139534883721,51.66046511627907,69.6,41.61395348837209,67.74883720930232,130.53953488372093,92.97209302325581,70.93488372093023,84.5906976744186,107.81395348837209,56.53488372093023,73.11162790697675,73.43255813953489,99.63255813953488,131.2093023255814
ALB,ssp1,wsdiETCCDI,25.571428571428573,11.0,75.71428571428571,25.285714285714285,73.71428571428571,55.0,13.428571428571429,54.714285714285715,127.57142857142857,32.42857142857143,56.857142857142854,85.42857142857143,54.0,25.857142857142858,19.0,54.0,66.42857142857143,50.142857142857146,12.428571428571429,18.857142857142858,25.571428571428573,8.571428571428571,101.0,132.71428571428572,109.85714285714286,79.28571428571429,73.28571428571429,76.0,59.42857142857143,72.0,154.71428571428572,44.714285714285715,63.285714285714285,57.857142857142854,81.14285714285714,103.71428571428571,70.0,108.28571428571429,55.0,53.857142857142854,23.0,80.85714285714286,46.42857142857143,86.0,32.142857142857146,84.57142857142857,66.42857142857143,115.0,88.14285714285714,61.42857142857143,135.85714285714286,64.71428571428571,96.42857142857143,75.42857142857143,60.142857142857146,82.28571428571429,43.285714285714285,99.71428571428571,17.285714285714285,122.28571428571429,99.85714285714286,30.714285714285715,26.285714285714285,49.285714285714285,64.42857142857143,68.42857142857143,73.71428571428571,49.57142857142857,45.857142857142854,53.714285714285715,41.42857142857143,87.85714285714286,77.85714285714286,11.571428571428571,95.14285714285714,98.57142857142857,26.857142857142858,60.57142857142857,13.571428571428571,47.57142857142857,62.142857142857146,45.57142857142857,28.428571428571427,96.71428571428571,13.428571428571429,58.857142857142854
ARE,ssp1,wsdiETCCDI,16.571428571428573,20.571428571428573,36.285714285714285,12.214285714285714,23.571428571428573,31.857142857142858,21.071428571428573,47.42857142857143,21.142857142857142,21.785714285714285,50.42857142857143,87.57142857142857,57.42857142857143,77.28571428571429,59.57142857142857,77.0,24.071428571428573,31.285714285714285,66.5,71.28571428571429,36.142857142857146,84.71428571428571,65.78571428571429,86.14285714285714,74.28571428571429,105.78571428571429,51.07142857142857,107.07142857142857,88.35714285714286,85.28571428571429,63.642857142857146,68.64285714285714,125.0,70.92857142857143,118.64285714285714,101.28571428571429,99.85714285714286,94.71428571428571,72.14285714285714,96.85714285714286,118.71428571428571,85.35714285714286,74.57142857142857,89.78571428571429,116.78571428571429,130.57142857142858,63.714285714285715,58.714285714285715,111.35714285714286,84.42857142857143,60.785714285714285,101.21428571428571,72.42857142857143,87.21428571428571,114.64285714285714,91.0,107.85714285714286,87.78571428571429,116.35714285714286,136.0,66.92857142857143,118.57142857142857,103.71428571428571,89.85714285714286,112.78571428571429,46.42857142857143,114.64285714285714,135.57142857142858,81.64285714285714,101.57142857142857,138.42857142857142,65.14285714285714,109.42857142857143,80.35714285714286,87.85714285714286,82.21428571428571,91.64285714285714,142.64285714285714,101.21428571428571,67.92857142857143,68.78571428571429,88.5,95.57142857142857,78.21428571428571,53.42857142857143,90.85714285714286
ARG,ssp1,wsdiETCCDI,2.3102836879432624,2.7890070921985815,7.164893617021277,6.042553191489362,7.01418439716312,20.95212765957447,2.643617021276596,7.925531914893617,7.682624113475177,12.77127659574468,8.044326241134751,6.374113475177305,10.615248226950355,5.308510638297872,9.445035460992909,23.083333333333332,20.351063829787233,10.76418439716312,7.452127659574468,18.95035460992908,11.588652482269504,6.418439716312057,8.664893617021276,13.352836879432624,9.98581560283688,15.02127659574468,15.52836879432624,18.75354609929078,27.159574468085108,11.710992907801419,10.838652482269504,10.608156028368795,16.01063829787234,12.25354609929078,8.207446808510639,13.574468085106384,12.210992907801419,16.5531914893617,22.884751773049647,16.04964539007092,11.106382978723405,10.115248226950355,11.909574468085106,6.804964539007092,8.338652482269504,10.921985815602836,10.5,12.560283687943262,28.640070921985817,14.843971631205674,13.287234042553191,24.170212765957448,14.27127659574468,14.441489361702128,30.68794326241135,16.97340425531915,10.310283687943262,10.01418439716312,12.340425531914894,9.790780141843971,12.150709219858156,6.76063829787234,13.640070921985815,15.920212765957446,6.49113475177305,17.52482269503546,12.78191489361702,14.650709219858156,17.04964539007092,12.936170212765957,9.171985815602836,9.088652482269504,18.44326241134752,12.890070921985815,12.00709219858156,18.70035460992908,13.051418439716311,11.97340425531915,8.290780141843971,31.159574468085108,22.131205673758867,9.02836879432624,10.388297872340425,8.464539007092199,11.666666666666666,20.342198581560282
ARM,ssp1,wsdiETCCDI,4.166666666666667,7.333333333333333,46.666666666666664,16.333333333333332,25.0,21.5,19.0,64.33333333333333,67.16666666666667,14.833333333333334,59.333333333333336,111.33333333333333,68.0,46.5,57.333333333333336,56.5,63.0,33.0,20.833333333333332,24.166666666666668,47.0,10.333333333333334,39.333333333333336,75.0,82.66666666666667,55.0,14.666666666666666,105.5,65.66666666666667,95.16666666666667,48.666666666666664,58.0,25.666666666666668,44.5,43.666666666666664,46.333333333333336,61.333333333333336,82.66666666666667,65.0,19.5,67.83333333333333,35.833333333333336,39.666666666666664,67.5,73.16666666666667,33.666666666666664,50.666666666666664,79.33333333333333,28.5,12.5,54.833333333333336,95.66666666666667,59.5,57.666666666666664,60.833333333333336,36.833333333333336,88.0,59.0,82.83333333333333,47.833333333333336,18.166666666666668,47.666666666666664,89.5,43.333333333333336,46.833333333333336,70.33333333333333,36.166666666666664,69.0,116.0,136.5,148.16666666666666,89.83333333333333,35.166666666666664,31.5,33.333333333333336,1.1666666666666667,54.666666666666664,28.666666666666668,68.66666666666667,27.833333333333332,18.833333333333332,53.833333333333336,31.166666666666668,22.333333333333332,30.5,48.833333333333336
ATA,ssp1,wsdiETCCDI,9.668711656441717,18.129746310727906,19.943707511192173,15.385425302603217,7.009616978942132,14.416431769192505,8.327806333941304,13.307245896202952,12.275161664732217,13.87124854916266,18.76620792571713,12.884844967667053,22.36221190515669,18.54559774498425,21.69880616813132,13.290913612999503,8.720527275742,18.29621953241585,16.90640026529597,10.334687448184381,15.311556955728735,18.14682473884928,24.333609683302935,28.844636047090034,28.920245398773005,14.774912949759576,20.002487149726413,14.921406068645332,13.154783617973802,20.267119880616814,30.0364781959874,34.05778477864367,30.789006798209254,20.20220527275742,25.672525286022218,21.109268777980436,22.07743326148234,19.789338418172775,17.248632067650473,27.482258331951584,34.01359641850439,26.609683302934837,26.93541701210413,22.875559608688445,12.675261150721273,24.174349195821588,11.428784612833693,28.11399436246062,17.160835682308075,18.840656607527773,12.23893218371746,31.061764218205937,12.221190515669043,24.53838501077765,11.327972143923065,19.80857237605704,18.007875974133643,17.61018073288012,13.624772011275079,13.093516829713149,16.289670038136297,20.577267451500582,25.743160338252363,15.302769026695406,40.782623113911455,29.535897861051236,12.193417343724093,28.074531586801527,34.205355662410874,27.405239595423645,13.025286022218538,20.627507875974132,21.82183717459791,22.971563588128006,30.75576189686619,16.215967501243576,27.525120212236775,26.190101144088874,22.96634057370254,31.69482672856906,21.35085392140607,21.3346045431935,25.294893052561765,37.88782954733875,25.587381860387996,21.453407395125186
ATF,ssp1,wsdiETCCDI,1.5,0.0,8.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,1.75,0.0,0.0,6.0,9.5,21.25,12.25,0.0,7.5,52.25,7.25,9.0,15.5,29.75,6.0,9.25,1.5,12.5,4.75,3.0,14.0,44.75,78.0,8.5,5.25,26.75,0.0,0.0,1.5,6.5,0.0,17.0,0.0,0.0,0.0,16.0,8.75,0.0,0.0,29.5,42.5,14.0,40.5,1.5,0.0,15.75,3.0,50.75,66.5,9.25,14.5,2.0,19.25,63.5,31.75,4.5,0.0,26.0,1.5,9.5,10.25,3.0,52.25,33.25,25.75,14.25,9.25,5.0
AUS,ssp1,wsdiETCCDI,13.214184397163121,4.6,10.101418439716312,24.266666666666666,29.407801418439718,10.030496453900708,25.675886524822694,12.281560283687943,25.904964539007093,12.925531914893616,17.949645390070923,6.872340425531915,5.919148936170213,28.697163120567375,9.4,6.292198581560283,17.7,13.029787234042553,23.236879432624114,11.412056737588653,28.79432624113475,44.646808510638294,38.7177304964539,23.64822695035461,14.173049645390071,40.715602836879434,10.170921985815603,19.211347517730495,19.353191489361702,28.2709219858156,21.01418439716312,52.03475177304964,49.41063829787234,66.11276595744681,16.4645390070922,19.680851063829788,47.277304964539006,14.425531914893616,10.15177304964539,23.775886524822695,12.61985815602837,8.547517730496454,25.75673758865248,12.599290780141844,28.568794326241136,49.01560283687943,13.174468085106383,26.23900709219858,23.918439716312058,35.10921985815603,12.87872340425532,11.327659574468084,43.37304964539007,23.75673758865248,13.609929078014185,43.59432624113475,23.383687943262412,11.539007092198581,36.44609929078014,77.28581560283688,35.790780141843975,54.50354609929078,37.54751773049645,35.248936170212765,33.44609929078014,25.134042553191488,31.6645390070922,51.92198581560284,72.00567375886524,7.637588652482269,16.219148936170214,34.40070921985816,28.9468085106383,47.57375886524823,13.95531914893617,15.7,51.99787234042553,36.92836879432624,21.443971631205674,46.90567375886525,28.680141843971633,11.861702127659575,33.9758865248227,45.756028368794325,34.202127659574465,25.52482269503546
